yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513E9A1H	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A2W4YJ09	A0A2W4YJ09	A0A2W4YJ09_9CYAN	unreviewed	Elongation factor Tu (EF-Tu)	tuf DCF17_06795	Shackletoniella antarctica	409	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2W5X0R6	A0A2W5X0R6	A0A2W5X0R6_9BACT	unreviewed	Elongation factor Tu (EF-Tu)	tuf DLM50_08225	Candidatus Eremiobacteraeota bacterium	400	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2W6CN12	A0A2W6CN12	A0A2W6CN12_9ACTN	unreviewed	Cell division protein FtsZ	ftsZ DLM54_04890	Acidimicrobiales bacterium	359	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A2W6HMM3	A0A2W6HMM3	A0A2W6HMM3_STEMA	unreviewed	Fasciclin	A7X75_06940	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	186		
A0A2W6IJ43	A0A2W6IJ43	A0A2W6IJ43_STEMA	unreviewed	Fasciclin	A7X83_22110	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	186		
A0A2W6Z2X3	A0A2W6Z2X3	A0A2W6Z2X3_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DCF32_20015	Leptolyngbya sp.	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2W6Z3S0	A0A2W6Z3S0	A0A2W6Z3S0_9CYAN	unreviewed	Red carotenoid-binding protein	DCE90_06990	Pseudanabaena sp.	319	GO:0016037; GO:0018298; GO:0030089; GO:0031404	phycobilisome [GO:0030089]; chloride ion binding [GO:0031404]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]
A0A2W6ZCJ6	A0A2W6ZCJ6	A0A2W6ZCJ6_9CYAN	unreviewed	Nitrogen regulatory protein P-II (PII signal transducing protein)	DCE90_13140	Pseudanabaena sp.	112	GO:0006808; GO:0030234	enzyme regulator activity [GO:0030234]; regulation of nitrogen utilization [GO:0006808]
A0A2W6ZT46	A0A2W6ZT46	A0A2W6ZT46_9CYAN	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD atpB DCF22_23270	Leptolyngbya sp.	485	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A2W6ZY61	A0A2W6ZY61	A0A2W6ZY61_9CYAN	unreviewed	Fructose-1,6-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	fba DCF21_21285	Leptolyngbya sp.	359	GO:0004332; GO:0006096; GO:0008270	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]
A0A2W6ZZA9	A0A2W6ZZA9	A0A2W6ZZA9_9CYAN	unreviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA DCF32_04265	Leptolyngbya sp.	444	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]
A0A2W7A1A5	A0A2W7A1A5	A0A2W7A1A5_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK DCF22_19365	Leptolyngbya sp.	637	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A2W7A2D3	A0A2W7A2D3	A0A2W7A2D3_9CYAN	unreviewed	Phycocyanin subunit alpha	cpcA DCF22_18010	Leptolyngbya sp.	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W7A7C5	A0A2W7A7C5	A0A2W7A7C5_9CYAN	unreviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA DCF21_16895	Leptolyngbya sp.	444	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]
A0A2W7A7X7	A0A2W7A7X7	A0A2W7A7X7_9CYAN	unreviewed	Cell division protein FtsZ	ftsZ DCF22_17835	Leptolyngbya sp.	424	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
A0A2W7A9Y0	A0A2W7A9Y0	A0A2W7A9Y0_9CYAN	unreviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk DCF22_15205	Leptolyngbya sp.	158	GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
A0A2W7AFG5	A0A2W7AFG5	A0A2W7AFG5_9CYAN	unreviewed	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA DCF20_13380	Pseudanabaena sp.	505	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A2W7AH89	A0A2W7AH89	A0A2W7AH89_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB DCF22_24225	Leptolyngbya sp.	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W7AHC7	A0A2W7AHC7	A0A2W7AHC7_9CYAN	unreviewed	Photosystem reaction center subunit H	DCF22_08665	Leptolyngbya sp.	291	GO:0019684; GO:0030077; GO:0045156	plasma membrane light-harvesting complex [GO:0030077]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthesis, light reaction [GO:0019684]
A0A2W7AHE0	A0A2W7AHE0	A0A2W7AHE0_9CYAN	unreviewed	Elongation factor Tu (EF-Tu)	tuf DCF22_11565	Leptolyngbya sp.	409	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2W7AHJ1	A0A2W7AHJ1	A0A2W7AHJ1_9CYAN	unreviewed	S-layer protein	DCF22_07865	Leptolyngbya sp.	604	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2W7AI71	A0A2W7AI71	A0A2W7AI71_9CYAN	unreviewed	Fasciclin	DCF32_09575	Leptolyngbya sp.	133		
A0A2W7ALH8	A0A2W7ALH8	A0A2W7ALH8_9CYAN	unreviewed	30S ribosomal protein S1	DCF22_09250	Leptolyngbya sp.	365	GO:0003676; GO:0005840	ribosome [GO:0005840]; nucleic acid binding [GO:0003676]
A0A2W7ANV7	A0A2W7ANV7	A0A2W7ANV7_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DCF22_07780	Leptolyngbya sp.	545	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2W7AQ60	A0A2W7AQ60	A0A2W7AQ60_9CYAN	unreviewed	Probable 30S ribosomal protein PSRP-3 (Ycf65-like protein)	DCF22_06935	Leptolyngbya sp.	99	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2W7AS05	A0A2W7AS05	A0A2W7AS05_9CYAN	unreviewed	Fasciclin	DCF21_19380	Leptolyngbya sp.	133		
A0A2W7AT93	A0A2W7AT93	A0A2W7AT93_9CYAN	unreviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC2 DCF22_02095	Leptolyngbya sp.	1338	GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
A0A2W7ATZ9	A0A2W7ATZ9	A0A2W7ATZ9_9CYAN	unreviewed	Allophycocyanin	DCF22_04285	Leptolyngbya sp.	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W7AZ37	A0A2W7AZ37	A0A2W7AZ37_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DCF22_13120	Leptolyngbya sp.	559	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2W7B0C8	A0A2W7B0C8	A0A2W7B0C8_9CYAN	unreviewed	Urea ABC transporter substrate-binding protein	urtA DCF22_12255	Leptolyngbya sp.	437		
A0A2W7B124	A0A2W7B124	A0A2W7B124_9CYAN	unreviewed	30S ribosomal protein S10	rpsJ rps10 DCF22_11570	Leptolyngbya sp.	105	GO:0000049; GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A2W7B6P4	A0A2W7B6P4	A0A2W7B6P4_9CYAN	unreviewed	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA DCF22_02995	Leptolyngbya sp.	505	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A2W7B737	A0A2W7B737	A0A2W7B737_9CYAN	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp DCF22_08205	Leptolyngbya sp.	716	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A2W7B830	A0A2W7B830	A0A2W7B830_9CYAN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES DCF22_07785	Leptolyngbya sp.	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2W7BB34	A0A2W7BB34	A0A2W7BB34_9CYAN	unreviewed	Peroxiredoxin	DCF22_05850	Leptolyngbya sp.	211	GO:0051920	peroxiredoxin activity [GO:0051920]
A0A2W7BFY6	A0A2W7BFY6	A0A2W7BFY6_9CYAN	unreviewed	Phycobiliprotein ApcE	DCF22_03035	Leptolyngbya sp.	1122	GO:0015979; GO:0016829; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; lyase activity [GO:0016829]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2W7BHQ9	A0A2W7BHQ9	A0A2W7BHQ9_9CYAN	unreviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB DCF22_02105	Leptolyngbya sp.	1096	GO:0003677; GO:0003899; GO:0006351; GO:0032549	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; transcription, DNA-templated [GO:0006351]
A0A2W7BHS9	A0A2W7BHS9	A0A2W7BHS9_9CYAN	unreviewed	Thioredoxin	trxA DCF22_02045	Leptolyngbya sp.	107	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
A0A2W7BMW0	A0A2W7BMW0	A0A2W7BMW0_9CYAN	unreviewed	Elongation factor Tu (EF-Tu)	tuf DCF21_05405	Leptolyngbya sp.	409	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2W7CJQ7	A0A2W7CJQ7	A0A2W7CJQ7_9CYAN	unreviewed	50S ribosomal protein L1	rplA rpl1 DCF22_03235	Leptolyngbya sp.	237	GO:0000049; GO:0003735; GO:0006412; GO:0006417; GO:0015934; GO:0019843	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]
A0A2W7GM81	A0A2W7GM81	A0A2W7GM81_9BURK	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL C7514_103306	Paraburkholderia sp. PDC91	546	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2Z3IJD2	A0A2Z3IJD2	A0A2Z3IJD2_9RHIZ	unreviewed	Nex18 symbiotically induced protein	C4E04_09745	Microvirga sp. 17 mud 1-3	159		
A0A2Z5WUL6	A0A2Z5WUL6	A0A2Z5WUL6_9CYAN	unreviewed	50S ribosomal protein L6	rplF rpl6 ABRG53_0774	Pseudanabaena sp. ABRG5-3	187	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2Z5WX23	A0A2Z5WX23	A0A2Z5WX23_9CYAN	unreviewed	Carbohydrate-selective porin	oprB ABRG53_1633	Pseudanabaena sp. ABRG5-3	526	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2Z6CEZ3	A0A2Z6CEZ3	A0A2Z6CEZ3_PLAAG	unreviewed	Translation initiation factor IF-1	infA NIES204_18570	Planktothrix agardhii NIES-204	66	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
A0A2Z6CFR6	A0A2Z6CFR6	A0A2Z6CFR6_PLAAG	unreviewed	Carbon dioxide concentrating mechanism protein CcmK	ccmK_1 NIES204_24660	Planktothrix agardhii NIES-204	113	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
A0A2Z6D091	A0A2Z6D091	A0A2Z6D091_9NOSO	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL NIES2109_49380	Nostoc sp. HK-01	554	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A316JFG6	A0A316JFG6	A0A316JFG6_9SYNE	unreviewed	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA DCO99_12775	Synechococcus sp. XM-24	359	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0016682; GO:0018298; GO:0031676; GO:0045156	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]; response to herbicide [GO:0009635]
A0A316JNY7	A0A316JNY7	A0A316JNY7_9SYNE	unreviewed	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA DCO99_03310	Synechococcus sp. XM-24	358	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0016682; GO:0018298; GO:0031676; GO:0045156	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]; response to herbicide [GO:0009635]
A0A328ID68	A0A328ID68	A0A328ID68_9CYAN	unreviewed	30S ribosomal protein S11	rpsK rps11 C6Y22_15380	Hapalosiphonaceae cyanobacterium JJU2	131	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A328IGN0	A0A328IGN0	A0A328IGN0_9CYAN	unreviewed	Translation initiation factor IF-1	infA C6Y22_15395	Hapalosiphonaceae cyanobacterium JJU2	74	GO:0003743; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743]
A0A328VCE9	A0A328VCE9	A0A328VCE9_9CYAN	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp B9S53_01595	Arthrospira sp. O9.13F	720	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]
A0A328VCM4	A0A328VCM4	A0A328VCM4_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL B9S53_02065	Arthrospira sp. O9.13F	545	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A328VEM7	A0A328VEM7	A0A328VEM7_9CHLR	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL A4R35_11375	Thermogemmatispora tikiterensis	542	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A346QR77	A0A346QR77	A0A346QR77_PROCL	unreviewed	Cytoplasmic actin 1 (Fragment)	Actb	Procambarus clarkii (Red swamp crayfish)	376		
A0A349JFD1	A0A349JFD1	A0A349JFD1_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 DCS91_01795	Microcoleaceae bacterium UBA11344	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A349JIG9	A0A349JIG9	A0A349JIG9_9CYAN	unreviewed	AbrB family transcriptional regulator	DCS91_08460	Microcoleaceae bacterium UBA11344	128	GO:0003677	DNA binding [GO:0003677]
A0A349JIW0	A0A349JIW0	A0A349JIW0_9CYAN	unreviewed	50S ribosomal protein L5	rplE rpl5 DCS91_09290	Microcoleaceae bacterium UBA11344	181	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A350XM35	A0A350XM35	A0A350XM35_9CYAN	unreviewed	Photosystem I reaction center subunit II	DCY88_32085	Cyanobacteria bacterium UBA11372	141	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A350Y458	A0A350Y458	A0A350Y458_9CYAN	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD atpB DCY91_08660	Cyanobacteria bacterium UBA11370	482	GO:0005524; GO:0031676; GO:0045261; GO:0046933; GO:0046961	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A351L2P9	A0A351L2P9	A0A351L2P9_9CYAN	unreviewed	Photosystem I reaction center subunit II	DCZ55_11510	Cyanobacteria bacterium UBA11371	141	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A351LEH5	A0A351LEH5	A0A351LEH5_9CYAN	unreviewed	30S ribosomal protein S1	DCZ55_33285	Cyanobacteria bacterium UBA11371	357	GO:0003676; GO:0005840	ribosome [GO:0005840]; nucleic acid binding [GO:0003676]
A0A352AF97	A0A352AF97	A0A352AF97_9CYAN	unreviewed	Fructose-1,6-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	fba DC064_10115	Cyanobacteria bacterium UBA9273	359	GO:0004332; GO:0006096; GO:0008270	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]
A0A352AI97	A0A352AI97	A0A352AI97_9CYAN	unreviewed	Photosystem I reaction center subunit II	DC064_15615	Cyanobacteria bacterium UBA9273	142	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A352JIR5	A0A352JIR5	A0A352JIR5_9CYAN	unreviewed	50S ribosomal protein L6	rplF rpl6 DCZ88_17370	Pseudanabaena sp.	187	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A352JPW8	A0A352JPW8	A0A352JPW8_9BACT	unreviewed	Fasciclin	DCZ43_01755 DEO84_04440	candidate division Zixibacteria bacterium	142		
A0A354LVG5	A0A354LVG5	A0A354LVG5_9FIRM	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD DDY60_04640	Erysipelotrichaceae bacterium	466	GO:0005524; GO:0005886; GO:0045261; GO:0046933; GO:0046961	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A0A355CFE4	A0A355CFE4	A0A355CFE4_9CYAN	unreviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK DD001_01650	Microcoleaceae bacterium UBA10368	634	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
A0A355CFY7	A0A355CFY7	A0A355CFY7_9CYAN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES DD001_07675	Microcoleaceae bacterium UBA10368	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A355CJT3	A0A355CJT3	A0A355CJT3_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 DD001_13615	Microcoleaceae bacterium UBA10368	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A355CKQ0	A0A355CKQ0	A0A355CKQ0_9CYAN	unreviewed	Urea ABC transporter substrate-binding protein	urtA DD001_16840	Microcoleaceae bacterium UBA10368	441	GO:0006865	amino acid transport [GO:0006865]
A0A355CLN0	A0A355CLN0	A0A355CLN0_9CYAN	unreviewed	Cell division protein FtsZ	ftsZ DD001_16400	Microcoleaceae bacterium UBA10368	424	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
