"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"239","tr|A0A2T1DFJ5|A0A2T1DFJ5_9CYAN",5,733,"CsbD family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11635 PE=3 SV=1",1920490,9,4,11,16,4,NA
"240","tr|A0A2T1DFJ7|A0A2T1DFJ7_9CYAN",4,1440,"Phosphoglycerate kinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pgk PE=3 SV=1",1920490,6,8,4,2,NA,NA
"241","tr|A0A2T1DFM3|A0A2T1DFM3_9CYAN",2,1682,"OstA-like family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11860 PE=4 SV=1",1920490,10,NA,6,NA,NA,NA
"242","tr|A0A2T1DFN1|A0A2T1DFN1_9CYAN",5,1517,"Chaperone protein ClpB OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=clpB PE=3 SV=1",1920490,NA,3,NA,NA,NA,NA
"243","tr|A0A2T1DFV2|A0A2T1DFV2_9CYAN",7,997,"DNA starvation/stationary phase protection protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12295 PE=3 SV=1",1920490,6,10,5,2,3,NA
"244","tr|A0A2T1DFX5|A0A2T1DFX5_9CYAN",11,16,"SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10825 PE=3 SV=1",1920490,75,89,83,22,55,7
"245","tr|A0A2T1DFZ4|A0A2T1DFZ4_9CYAN",5,1498,"50S ribosomal protein L11 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplK PE=3 SV=1",1920490,4,2,10,3,3,NA
"246","tr|A0A2T1DFZ9|A0A2T1DFZ9_9CYAN",5,438,"Insulinase family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10900 PE=4 SV=1",1920490,17,13,22,12,7,NA
"247","tr|A0A2T1DG14|A0A2T1DG14_9CYAN",3,2658,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10850 PE=4 SV=1",1920490,2,NA,2,NA,2,NA
"248","tr|A0A2T1DG34|A0A2T1DG34_9CYAN",8,780,"ATP-dependent zinc metalloprotease FtsH OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=ftsH PE=3 SV=1",1920490,5,12,5,NA,NA,NA
"249","tr|A0A2T1DG40|A0A2T1DG40_9CYAN",6,1034,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10845 PE=4 SV=1",1920490,3,9,6,2,5,NA
"250","tr|A0A2T1DG55|A0A2T1DG55_9CYAN",6,1192,"50S ribosomal protein L1 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplA PE=3 SV=1",1920490,7,5,7,2,4,NA
"251","tr|A0A2T1DG78|A0A2T1DG78_9CYAN",2,2836,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11370 PE=4 SV=1",1920490,NA,NA,3,2,NA,NA
"252","tr|A0A2T1DG79|A0A2T1DG79_9CYAN",9,51,"10 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groS PE=3 SV=1",1920490,48,54,60,57,28,NA
"253","tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN",10,5,"60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1",1920490,41,63,54,21,31,NA
"254","tr|A0A2T1DGA8|A0A2T1DGA8_9CYAN",11,6,"Fasciclin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11485 PE=4 SV=1",1920490,66,68,72,45,36,19
"255","tr|A0A2T1DGE7|A0A2T1DGE7_9CYAN",3,1926,"GMP synthase [glutamine-hydrolyzing] OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=guaA PE=3 SV=1",1920490,NA,8,NA,NA,NA,NA
"256","tr|A0A2T1DGP8|A0A2T1DGP8_9CYAN",7,462,"RNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10195 PE=4 SV=1",1920490,13,13,16,8,3,NA
"257","tr|A0A2T1DGR2|A0A2T1DGR2_9CYAN",5,790,"High light inducible protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10235 PE=4 SV=1",1920490,4,16,16,2,3,NA
"258","tr|A0A2T1DGZ9|A0A2T1DGZ9_9CYAN",5,843,"Glyceraldehyde-3-phosphate dehydrogenase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=gap PE=3 SV=1",1920490,NA,14,4,NA,3,NA
"259","tr|A0A2T1DHC9|A0A2T1DHC9_9CYAN",7,751,"Nucleoside diphosphate kinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=ndk PE=3 SV=1",1920490,5,13,8,3,7,NA
"260","tr|A0A2T1DHF5|A0A2T1DHF5_9CYAN",4,1679,"Universal stress protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_09550 PE=3 SV=1",1920490,4,5,7,NA,NA,NA
"261","tr|A0A2T1DHK3|A0A2T1DHK3_9CYAN",7,879,"Red carotenoid-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_09880 PE=3 SV=1",1920490,4,10,2,NA,NA,NA
"262","tr|A0A2T1DHY8|A0A2T1DHY8_9CYAN",6,1500,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_08525 PE=4 SV=1",1920490,6,4,6,2,2,NA
"263","tr|A0A2T1DI12|A0A2T1DI12_9CYAN",2,2872,"Fe-S cluster assembly protein SufD OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=sufD PE=3 SV=1",1920490,NA,2,3,NA,NA,NA
"264","tr|A0A2T1DIB3|A0A2T1DIB3_9CYAN",5,1766,"Thiamine biosynthesis protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_08980 PE=4 SV=1",1920490,4,2,7,2,2,NA
"265","tr|A0A2T1DIH2|A0A2T1DIH2_9CYAN",2,2647,"Cytochrome b6-f complex iron-sulfur subunit OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=petC PE=3 SV=1",1920490,2,NA,6,NA,NA,NA
"266","tr|A0A2T1DIK6|A0A2T1DIK6_9CYAN",5,1420,"Cytochrome f OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=petA PE=3 SV=1",1920490,8,2,8,3,2,NA
"267","tr|A0A2T1DIU0|A0A2T1DIU0_9CYAN",5,595,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_07875 PE=4 SV=1",1920490,17,7,15,10,4,NA
"268","tr|A0A2T1DJD4|A0A2T1DJD4_9CYAN",10,134,"60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1",1920490,23,35,40,12,20,NA
"269","tr|A0A2T1DJK5|A0A2T1DJK5_9CYAN",3,2019,"Aldo/keto reductase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_07210 PE=3 SV=1",1920490,4,6,2,NA,NA,NA
"270","tr|A0A2T1DJS0|A0A2T1DJS0_9CYAN",7,517,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_06645 PE=4 SV=1",1920490,7,15,12,7,5,NA
"271","tr|A0A2T1DK33|A0A2T1DK33_9CYAN",4,1654,"D-3-phosphoglycerate dehydrogenase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05230 PE=3 SV=1",1920490,NA,11,2,NA,NA,NA
"272","tr|A0A2T1DKF9|A0A2T1DKF9_9CYAN",7,408,"Polyribonucleotide nucleotidyltransferase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pnp PE=3 SV=1",1920490,13,26,8,6,4,NA
"273","tr|A0A2T1DKH7|A0A2T1DKH7_9CYAN",2,2491,"Molybdopterin-synthase adenylyltransferase MoeB OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05880 PE=4 SV=1",1920490,NA,5,NA,NA,NA,NA
"274","tr|A0A2T1DKM2|A0A2T1DKM2_9CYAN",3,1717,"Glycerophosphodiester phosphodiesterase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05990 PE=4 SV=1",1920490,3,4,10,NA,NA,NA
"275","tr|A0A2T1DKN7|A0A2T1DKN7_9CYAN",4,2015,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_05220 PE=4 SV=1",1920490,3,2,6,3,NA,NA
"276","tr|A0A2T1DKV5|A0A2T1DKV5_9CYAN",10,3,"Phycocyanin subunit alpha OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=cpcA PE=3 SV=1",1920490,39,52,109,63,43,12
"277","tr|A0A2T1DKV9|A0A2T1DKV9_9CYAN",11,18,"Phycocyanin subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04085 PE=3 SV=1",1920490,31,52,71,42,38,11
"278","tr|A0A2T1DKW8|A0A2T1DKW8_9CYAN",2,2518,"Single-stranded DNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04145 PE=4 SV=1",1920490,3,NA,4,NA,NA,NA
"279","tr|A0A2T1DKX0|A0A2T1DKX0_9CYAN",2,1724,"Peptidase S41 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04190 PE=3 SV=1",1920490,7,NA,9,NA,NA,NA
"280","tr|A0A2T1DL03|A0A2T1DL03_9CYAN",4,1575,"Photosystem I reaction center subunit XII OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04095 PE=3 SV=1",1920490,2,5,8,NA,3,NA
"281","tr|A0A2T1DL13|A0A2T1DL13_9CYAN",10,116,"SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04375 PE=3 SV=1",1920490,33,44,48,21,24,3
"282","tr|A0A2T1DL37|A0A2T1DL37_9CYAN",5,1207,"Glutamine synthetase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=glnA PE=3 SV=1",1920490,NA,11,6,NA,2,NA
"283","tr|A0A2T1DL99|A0A2T1DL99_9CYAN",6,1354,"Allophycocyanin subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=apcB PE=3 SV=1",1920490,NA,4,3,4,6,NA
"284","tr|A0A2T1DLE8|A0A2T1DLE8_9CYAN",4,2062,"Phycobilisome linker polypeptide OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_04100 PE=4 SV=1",1920490,3,NA,5,3,2,NA
"285","tr|A0A2T1DLH9|A0A2T1DLH9_9CYAN",5,82,"Phosphate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pstS PE=3 SV=1",1920490,53,46,67,39,26,NA
"286","tr|A0A2T1DLU9|A0A2T1DLU9_9CYAN",8,410,"Photosystem I 16 kDa polypeptide OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_02270 PE=3 SV=1",1920490,13,5,24,4,8,NA
"287","tr|A0A2T1DLV5|A0A2T1DLV5_9CYAN",6,766,"50S ribosomal protein L5 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplE PE=3 SV=1",1920490,9,11,14,3,2,NA
"288","tr|A0A2T1DLW4|A0A2T1DLW4_9CYAN",5,1351,"50S ribosomal protein L23 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplW PE=3 SV=1",1920490,5,7,7,3,2,NA
"289","tr|A0A2T1DLX1|A0A2T1DLX1_9CYAN",7,757,"30S ribosomal protein S5 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsE PE=3 SV=1",1920490,9,6,12,4,2,NA
"290","tr|A0A2T1DLX5|A0A2T1DLX5_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=infA PE=3 SV=1",1920490,4,4,3,NA,NA,NA
"291","tr|A0A2T1DLY1|A0A2T1DLY1_9CYAN",2,1179,"30S ribosomal protein S3 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsC PE=3 SV=1",1920490,NA,21,NA,NA,4,NA
"292","tr|A0A2T1DLY2|A0A2T1DLY2_9CYAN",4,1776,"50S ribosomal protein L15 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplO PE=3 SV=1",1920490,3,5,6,NA,NA,NA
"293","tr|A0A2T1DLZ3|A0A2T1DLZ3_9CYAN",7,1225,"50S ribosomal protein L2 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplB PE=3 SV=1",1920490,5,8,5,3,2,NA
"294","tr|A0A2T1DLZ5|A0A2T1DLZ5_9CYAN",5,1869,"50S ribosomal protein L3 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplC PE=3 SV=1",1920490,2,4,4,2,2,NA
"295","tr|A0A2T1DLZ6|A0A2T1DLZ6_9CYAN",4,1090,"50S ribosomal protein L6 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplF PE=3 SV=1",1920490,7,9,10,2,NA,NA
"296","tr|A0A2T1DM10|A0A2T1DM10_9CYAN",3,1884,"50S ribosomal protein L29 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpmC PE=3 SV=1",1920490,3,6,5,NA,NA,NA
"297","tr|A0A2T1DM89|A0A2T1DM89_9CYAN",10,179,"SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_02800 PE=3 SV=1",1920490,14,26,21,13,13,NA
"298","tr|A0A2T1DMD6|A0A2T1DMD6_9CYAN",4,1594,"30S ribosomal protein S18 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsR PE=3 SV=1",1920490,8,6,4,NA,NA,NA
"299","tr|A0A2T1DME1|A0A2T1DME1_9CYAN",2,2274,"Tetratricopeptide repeat protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_03470 PE=4 SV=1",1920490,NA,3,6,NA,NA,NA
"300","tr|A0A2T1DMM9|A0A2T1DMM9_9CYAN",4,1861,"Photosystem I reaction center subunit XI OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=psaL PE=3 SV=1",1920490,NA,5,5,3,NA,NA
"301","tr|A0A2T1DMN4|A0A2T1DMN4_9CYAN",8,335,"ATP synthase subunit alpha OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=atpA PE=3 SV=1",1920490,12,12,16,17,13,NA
"302","tr|A0A2T1DN44|A0A2T1DN44_9CYAN",4,1104,"PDZ domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_00145 PE=3 SV=1",1920490,11,NA,7,9,2,NA
"303","tr|A0A2T1DNF6|A0A2T1DNF6_9CYAN",2,2100,"ATP-dependent zinc metalloprotease FtsH OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=ftsH PE=3 SV=1",1920490,NA,6,NA,NA,NA,NA
"304","tr|A0A2T1DNH6|A0A2T1DNH6_9CYAN",3,2486,"TldD/PmbA family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_00900 PE=3 SV=1",1920490,2,4,3,NA,NA,NA
"305","tr|A0A2T1DNJ3|A0A2T1DNJ3_9CYAN",4,1804,"Cupin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_01075 PE=4 SV=1",1920490,2,2,4,7,NA,NA
"306","tr|A0A2T1DNN0|A0A2T1DNN0_9CYAN",10,122,"ATP synthase subunit beta OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=atpD PE=3 SV=1",1920490,13,15,29,13,11,NA
"307","tr|A0A2T1DP56|A0A2T1DP56_9CYAN",6,903,"30S ribosomal protein S7 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpsG PE=3 SV=1",1920490,4,6,10,2,NA,NA
"308","tr|A0A2T1DTX6|A0A2T1DTX6_9CYAN",9,162,"ATP synthase subunit beta OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=atpD PE=3 SV=1",2107705,NA,3,10,2,5,NA
"309","tr|A0A2T1DYS7|A0A2T1DYS7_9CYAN",5,484,"Phosphate-binding protein OS=Stenomitos frigidus ULC18 OX=2107698 GN=pstS PE=3 SV=1",2107698,14,17,19,9,5,NA
"310","tr|A0A2T1DYZ8|A0A2T1DYZ8_9CYAN",4,505,"Carbon dioxide-concentrating mechanism protein CcmK OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_12330 PE=3 SV=1",2107705,NA,NA,3,NA,NA,NA
"311","tr|A0A2T1E0P4|A0A2T1E0P4_9CYAN",9,369,"S-layer protein OS=Stenomitos frigidus ULC18 OX=2107698 GN=C7B82_20145 PE=3 SV=1",2107698,9,10,13,8,7,NA
"312","tr|A0A2T1E4K7|A0A2T1E4K7_9CYAN",9,405,"Porin OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_10520 PE=3 SV=1",2107705,9,8,12,8,7,NA
"313","tr|A0A2T1E7R4|A0A2T1E7R4_9CYAN",9,244,"Porin OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_09895 PE=3 SV=1",2107705,9,8,12,8,7,NA
"314","tr|A0A2T1EDY4|A0A2T1EDY4_9CHRO",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=kdpB PE=3 SV=1",2107693,NA,2,3,NA,NA,NA
"315","tr|A0A2T1EH77|A0A2T1EH77_9CHRO",2,2756,"Global nitrogen regulator NtcA OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=ntcA PE=4 SV=1",2107693,NA,2,NA,NA,NA,NA
"316","tr|A0A2T1EMH6|A0A2T1EMH6_9CYAN",4,1063,"Bicarbonate-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_06370 PE=3 SV=1",2107705,2,2,NA,NA,NA,NA
"317","tr|A0A2T1EP47|A0A2T1EP47_9CYAN",3,2574,"NTP_transf_9 domain-containing protein OS=Stenomitos frigidus ULC18 OX=2107698 GN=C7B82_02990 PE=4 SV=1",2107698,2,NA,2,NA,NA,NA
"318","tr|A0A2T1ERX8|A0A2T1ERX8_9CHRO",5,1355,"SLH domain-containing protein OS=Chlorogloea sp. CCALA 695 OX=2107693 GN=C7B70_01220 PE=3 SV=1",2107693,5,9,4,2,3,NA
"319","tr|A0A2T1EV35|A0A2T1EV35_9CYAN",2,2385,"DNA-directed RNA polymerase subunit alpha OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=rpoA PE=3 SV=1",2107705,NA,3,NA,NA,NA,NA
"320","tr|A0A2T1EV68|A0A2T1EV68_9CYAN",4,2059,"Translation initiation factor IF-1 OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=infA PE=3 SV=1",2107705,4,4,3,NA,NA,NA
"321","tr|A0A2T1EVB5|A0A2T1EVB5_9CYAN",4,1280,"30S ribosomal protein S9 OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=rpsI PE=3 SV=1",2107705,2,NA,NA,NA,NA,NA
"322","tr|A0A2T1F559|A0A2T1F559_9CYAN",5,493,"Probable phosphoketolase OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_00155 PE=3 SV=1",2107705,16,37,4,2,2,NA
"323","tr|A0A2T1FAP2|A0A2T1FAP2_9CYAN",4,1280,"30S ribosomal protein S9 OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rpsI PE=3 SV=1",2107706,2,NA,NA,NA,NA,NA
"324","tr|A0A2T1FEK3|A0A2T1FEK3_9CYAN",9,405,"Porin OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_23900 PE=3 SV=1",2107706,9,8,12,8,7,NA
"325","tr|A0A2T1FIY8|A0A2T1FIY8_9CYAN",5,694,"Polyribonucleotide nucleotidyltransferase OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=pnp PE=3 SV=1",2107706,2,3,NA,NA,NA,NA
"326","tr|A0A2T1FK22|A0A2T1FK22_9CYAN",3,2132,"50S ribosomal protein L4 OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rplD PE=3 SV=1",2107706,NA,2,NA,NA,NA,NA
"327","tr|A0A2T1FNZ0|A0A2T1FNZ0_9CYAN",9,244,"Porin OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_19935 PE=3 SV=1",2107706,9,8,12,8,7,NA
"328","tr|A0A2T1FQI5|A0A2T1FQI5_9CYAN",4,1515,"DNA-directed RNA polymerase subunit beta' OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=rpoC2 PE=3 SV=1",2107706,NA,7,2,NA,NA,NA
"329","tr|A0A2T1G0C5|A0A2T1G0C5_9CYAN",9,162,"ATP synthase subunit beta OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=atpD PE=3 SV=1",2107706,NA,3,10,2,5,NA
"330","tr|A0A2T1G5A3|A0A2T1G5A3_9CYAN",4,505,"Carbon dioxide-concentrating mechanism protein CcmK OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_07055 PE=3 SV=1",2107706,NA,NA,3,NA,NA,NA
"331","tr|A0A2T1G6W1|A0A2T1G6W1_9CYAN",4,1063,"Bicarbonate-binding protein OS=filamentous cyanobacterium Phorm 6 OX=2107706 GN=C7B67_04975 PE=3 SV=1",2107706,2,2,NA,NA,NA,NA
"332","tr|A0A2T1GDY1|A0A2T1GDY1_9CYAN",10,43,"60 kDa chaperonin OS=Chamaesiphon polymorphus CCALA 037 OX=2107692 GN=groL PE=3 SV=1",2107692,20,30,33,14,18,NA
"333","tr|A0A2T2WBT5|A0A2T2WBT5_9CYAN",5,1744,"30S ribosomal protein S19 OS=filamentous cyanobacterium CCP3 OX=2107704 GN=rpsS PE=3 SV=1",2107704,3,3,7,NA,NA,NA
"334","tr|A0A2T3XNR5|A0A2T3XNR5_9BURK",3,1977,"DNA-directed RNA polymerase subunit beta' OS=Trinickia symbiotica OX=863227 GN=rpoC PE=3 SV=1",863227,NA,4,NA,NA,NA,NA
"335","tr|A0A2V1HPZ0|A0A2V1HPZ0_9MICO",5,1786,"30S ribosomal protein S1 OS=Amnibacterium flavum OX=2173173 GN=DDQ50_11790 PE=4 SV=1",2173173,NA,2,NA,NA,2,NA
"336","tr|A0A2V8QGY6|A0A2V8QGY6_9BACT",2,2974,"RNA-binding protein OS=Acidobacteria bacterium OX=1978231 GN=DMF73_04180 PE=4 SV=1",1978231,2,NA,NA,NA,2,NA
"337","tr|A0A2W4P938|A0A2W4P938_9PROT",3,2653,"Sugar ABC transporter OS=Proteobacteria bacterium OX=1977087 GN=DIU65_05140 PE=4 SV=1",1977087,3,NA,NA,3,2,NA
"338","tr|A0A2W4WF12|A0A2W4WF12_9CYAN",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Shackletoniella antarctica OX=268115 GN=rpoC1 PE=3 SV=1",268115,NA,6,NA,NA,NA,NA
"339","tr|A0A2W4WJ29|A0A2W4WJ29_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Shackletoniella antarctica OX=268115 GN=infA PE=3 SV=1",268115,4,4,3,NA,NA,NA
"340","tr|A0A2W4XH96|A0A2W4XH96_9CYAN",7,353,"Fasciclin OS=Shackletoniella antarctica OX=268115 GN=DCF17_19075 PE=4 SV=1",268115,4,NA,3,NA,NA,NA
"341","tr|A0A2W4XW24|A0A2W4XW24_9CYAN",6,1622,"Uncharacterized protein OS=Pseudanabaena frigida OX=945775 GN=DCF19_15390 PE=4 SV=1",945775,2,NA,2,4,2,NA
"342","tr|A0A2W4YBT4|A0A2W4YBT4_9CYAN",5,1744,"30S ribosomal protein S19 OS=Shackletoniella antarctica OX=268115 GN=rpsS PE=3 SV=1",268115,3,3,7,NA,NA,NA
"343","tr|A0A2W5C5K0|A0A2W5C5K0_9SPHN",2,2852,"TonB-dependent receptor OS=Sphingomonas sanxanigenens OX=397260 GN=DI623_10095 PE=3 SV=1",397260,3,NA,NA,NA,2,NA
"344","tr|A0A2W5XGX1|A0A2W5XGX1_9BACT",5,522,"60 kDa chaperonin OS=Candidatus Eremiobacteraeota bacterium OX=2052317 GN=groL PE=3 SV=1",2052317,7,23,5,4,18,NA
"345","tr|A0A2W5Y101|A0A2W5Y101_9BACT",6,540,"Cu_amine_oxidN1 domain-containing protein OS=Candidatus Eremiobacteraeota bacterium OX=2052317 GN=DLM50_07705 PE=4 SV=1",2052317,11,14,10,6,6,11
"346","tr|A0A2W5YQ75|A0A2W5YQ75_9BACT",2,2624,"Uncharacterized protein OS=Candidatus Eremiobacteraeota bacterium OX=2052317 GN=DLM50_05355 PE=4 SV=1",2052317,NA,2,NA,4,NA,NA
"347","tr|A0A2W6DR51|A0A2W6DR51_9PSEU",2,2651,"Phosphodiesterase OS=Pseudonocardiales bacterium OX=2201155 GN=DLM61_17400 PE=4 SV=1",2201155,NA,NA,NA,2,NA,2
"348","tr|A0A2W6ZT46|A0A2W6ZT46_9CYAN",9,323,"ATP synthase subunit beta OS=Leptolyngbya sp. OX=47254 GN=atpD PE=3 SV=1",47254,NA,3,7,5,3,NA
"349","tr|A0A2W7A1A5|A0A2W7A1A5_9CYAN",6,1006,"Chaperone protein DnaK OS=Leptolyngbya sp. OX=47254 GN=dnaK PE=2 SV=1",47254,4,NA,4,7,2,NA
"350","tr|A0A2W7AHE0|A0A2W7AHE0_9CYAN",6,874,"Elongation factor Tu OS=Leptolyngbya sp. OX=47254 GN=tuf PE=3 SV=1",47254,NA,6,3,2,NA,NA
"351","tr|A0A2W7AHJ1|A0A2W7AHJ1_9CYAN",6,426,"S-layer protein OS=Leptolyngbya sp. OX=47254 GN=DCF22_07865 PE=3 SV=1",47254,NA,2,NA,2,NA,NA
"352","tr|A0A2W7AIS6|A0A2W7AIS6_9CYAN",5,479,"S-layer homology domain-containing protein OS=Leptolyngbya sp. OX=47254 GN=DCF22_08990 PE=4 SV=1",47254,12,9,19,17,8,NA
"353","tr|A0A2W7ALH8|A0A2W7ALH8_9CYAN",7,692,"30S ribosomal protein S1 OS=Leptolyngbya sp. OX=47254 GN=DCF22_09250 PE=4 SV=1",47254,NA,3,3,3,2,NA
"354","tr|A0A2W7ANV7|A0A2W7ANV7_9CYAN",10,4,"60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1",47254,34,38,43,15,22,NA
"355","tr|A0A2W7AS05|A0A2W7AS05_9CYAN",7,353,"Fasciclin OS=Leptolyngbya sp. OX=47254 GN=DCF21_19380 PE=4 SV=1",47254,4,NA,3,NA,NA,NA
"356","tr|A0A2W7AT93|A0A2W7AT93_9CYAN",4,1085,"DNA-directed RNA polymerase subunit beta' OS=Leptolyngbya sp. OX=47254 GN=rpoC2 PE=3 SV=1",47254,NA,7,2,NA,NA,NA
"357","tr|A0A2W7AZ37|A0A2W7AZ37_9CYAN",6,712,"60 kDa chaperonin OS=Leptolyngbya sp. OX=47254 GN=groL PE=3 SV=1",47254,NA,7,4,2,2,NA
"358","tr|A0A2W7B0C8|A0A2W7B0C8_9CYAN",3,1967,"Urea ABC transporter substrate-binding protein OS=Leptolyngbya sp. OX=47254 GN=urtA PE=4 SV=1",47254,NA,5,NA,NA,NA,NA
"359","tr|A0A2W7B6P4|A0A2W7B6P4_9CYAN",4,1177,"ATP synthase subunit alpha OS=Leptolyngbya sp. OX=47254 GN=atpA PE=3 SV=1",47254,NA,2,NA,NA,2,NA
"360","tr|A0A2W7B737|A0A2W7B737_9CYAN",5,571,"Polyribonucleotide nucleotidyltransferase OS=Leptolyngbya sp. OX=47254 GN=pnp PE=3 SV=1",47254,6,16,2,NA,NA,NA
