yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A2N5JP95	A0A2N5JP95	A0A2N5JP95_9CYAN	unreviewed	Phycocyanin subunit alpha	cpcA CV045_08240	Cyanobacteria bacterium M5B4	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6K1Y6	A0A2N6K1Y6	A0A2N6K1Y6_FISMU	unreviewed	Phycocyanin subunit beta	CEN44_14400	Fischerella muscicola CCMEE 5323	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6KCK5	A0A2N6KCK5	A0A2N6KCK5_9CYAN	unreviewed	Phycocyanin subunit beta	CEN50_18790	Fischerella thermalis CCMEE 5268	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6KR84	A0A2N6KR84	A0A2N6KR84_9CYAN	unreviewed	Phycocyanin subunit beta	CEN49_21260	Fischerella thermalis CCMEE 5273	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6LAH0	A0A2N6LAH0	A0A2N6LAH0_9CYAN	unreviewed	Phycocyanin subunit beta	CEN46_18585	Fischerella thermalis CCMEE 5318	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6MD30	A0A2N6MD30	A0A2N6MD30_9CYAN	unreviewed	Phycocyanin subunit beta	CEN41_09980	Fischerella thermalis CCMEE 5330	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6MKT7	A0A2N6MKT7	A0A2N6MKT7_9CYAN	unreviewed	Phycocyanin subunit beta	CEN39_24470	Fischerella thermalis CCMEE 5201	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2N6MR16	A0A2N6MR16	A0A2N6MR16_9CYAN	unreviewed	Phycocyanin subunit beta	CEN40_05600	Fischerella thermalis CCMEE 5205	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2P1UGR1	A0A2P1UGR1	A0A2P1UGR1_9CHRO	unreviewed	Phycocyanin subunit beta	B5D77_13085	Microcystis sp. MC19	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2P1UIP3	A0A2P1UIP3	A0A2P1UIP3_9CHRO	unreviewed	Bicarbonate-binding protein	B5D77_17060	Microcystis sp. MC19	440	GO:0006811	ion transport [GO:0006811]
A0A2P6TNM1	A0A2P6TNM1	A0A2P6TNM1_CHLSO	unreviewed	Eukaryotic translation elongation factor 1 alpha 2	C2E21_5641	Chlorella sorokiniana (Freshwater green alga)	464	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2P6TNV4	A0A2P6TNV4	A0A2P6TNV4_CHLSO	unreviewed	Eukaryotic translation elongation factor 1 alpha 2	C2E21_5643	Chlorella sorokiniana (Freshwater green alga)	1210	GO:0003746; GO:0003924; GO:0005047; GO:0005525; GO:0005785; GO:0006614	signal recognition particle receptor complex [GO:0005785]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal recognition particle binding [GO:0005047]; translation elongation factor activity [GO:0003746]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
A0A2P8QNZ6	A0A2P8QNZ6	A0A2P8QNZ6_9CYAN	unreviewed	Phycocyanin subunit beta	C7Y66_17135	Chroococcidiopsis sp. CCALA 051	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2P8QT78	A0A2P8QT78	A0A2P8QT78_9CYAN	unreviewed	Allophycocyanin	C7Y66_08825	Chroococcidiopsis sp. CCALA 051	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2P8QV37	A0A2P8QV37	A0A2P8QV37_9CYAN	unreviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	glpX C7Y66_05560	Chroococcidiopsis sp. CCALA 051	345	GO:0006071; GO:0006094; GO:0019253; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
A0A2P8W578	A0A2P8W578	A0A2P8W578_9CYAN	unreviewed	Uncharacterized protein	C7271_21295	filamentous cyanobacterium CCP5	260		
A0A2P8W6D2	A0A2P8W6D2	A0A2P8W6D2_9CYAN	unreviewed	Diguanylate cyclase	C7293_07565	filamentous cyanobacterium CCT1	160	GO:0010181	FMN binding [GO:0010181]
A0A2S5Y3N4	A0A2S5Y3N4	A0A2S5Y3N4_RATRA	unreviewed	Elongation factor Tu (EF-Tu)	tuf C5C22_01330	Rathayibacter rathayi (Corynebacterium rathayi)	397	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A2S6ID89	A0A2S6ID89	A0A2S6ID89_9ACTN	unreviewed	Regulator of protease activity HflC (Stomatin/prohibitin superfamily)	CLV92_11630	Kineococcus xinjiangensis	357	GO:0008233; GO:0016020	membrane [GO:0016020]; peptidase activity [GO:0008233]
A0A2S6VF65	A0A2S6VF65	A0A2S6VF65_9CYAN	unreviewed	DNA starvation/stationary phase protection protein	B1A85_00745	Chroococcidiopsis sp. TS-821	187	GO:0008199; GO:0016722	ferric iron binding [GO:0008199]; oxidoreductase activity, acting on metal ions [GO:0016722]
A0A2T0R9K7	A0A2T0R9K7	A0A2T0R9K7_9ACTN	unreviewed	SPFH domain-containing protein	CLV37_10171	Kineococcus rhizosphaerae	377	GO:0016020	membrane [GO:0016020]
A0A2T1C7J0	A0A2T1C7J0	A0A2T1C7J0_9CYAN	unreviewed	Bleomycin hydrolase	C7B64_04845	Merismopedia glauca CCAP 1448/3	186	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1C8J0	A0A2T1C8J0	A0A2T1C8J0_9CYAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	gap C7B69_25920	filamentous cyanobacterium Phorm 46	339	GO:0006006; GO:0016620; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]
A0A2T1CCI4	A0A2T1CCI4	A0A2T1CCI4_9CYAN	unreviewed	Phycocyanin subunit beta	C7B69_24705	filamentous cyanobacterium Phorm 46	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1CFT4	A0A2T1CFT4	A0A2T1CFT4_9CYAN	unreviewed	Uncharacterized protein	C7B69_23700	filamentous cyanobacterium Phorm 46	295		
A0A2T1CP74	A0A2T1CP74	A0A2T1CP74_9CYAN	unreviewed	Chemical-damaging agent resistance protein C	C7B62_11090	Pleurocapsa sp. CCALA 161	191		
A0A2T1CTT8	A0A2T1CTT8	A0A2T1CTT8_9CYAN	unreviewed	Diguanylate cyclase	C7B69_21375	filamentous cyanobacterium Phorm 46	160	GO:0010181	FMN binding [GO:0010181]
A0A2T1CXQ4	A0A2T1CXQ4	A0A2T1CXQ4_9CYAN	unreviewed	Organic solvent tolerance protein OstA	C7B76_21675	filamentous cyanobacterium CCP2	163		
A0A2T1CXT7	A0A2T1CXT7	A0A2T1CXT7_9CYAN	unreviewed	ATP-dependent Clp protease ATP-binding subunit ClpC (Fragment)	C7B69_20800	filamentous cyanobacterium Phorm 46	179	GO:0005524; GO:0008233; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]
A0A2T1CZ40	A0A2T1CZ40	A0A2T1CZ40_9CYAN	unreviewed	Uncharacterized protein	C7B69_20180	filamentous cyanobacterium Phorm 46	873		
A0A2T1CZ47	A0A2T1CZ47	A0A2T1CZ47_9CYAN	unreviewed	Phospholipid-binding protein	C7B69_20120	filamentous cyanobacterium Phorm 46	114		
A0A2T1DB53	A0A2T1DB53	A0A2T1DB53_9CYAN	unreviewed	Type 1 glutamine amidotransferase	C7B69_17185	filamentous cyanobacterium Phorm 46	365	GO:0006541; GO:0016740	transferase activity [GO:0016740]; glutamine metabolic process [GO:0006541]
A0A2T1DF85	A0A2T1DF85	A0A2T1DF85_9CYAN	unreviewed	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	C7B65_12845	Phormidesmis priestleyi ULC007	318	GO:0015979; GO:0015995; GO:0016630	protochlorophyllide reductase activity [GO:0016630]; chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]
A0A2T1DHN2	A0A2T1DHN2	A0A2T1DHN2_9CYAN	unreviewed	AbrB family transcriptional regulator	C7B69_16405	filamentous cyanobacterium Phorm 46	135	GO:0003677	DNA binding [GO:0003677]
A0A2T1DLS3	A0A2T1DLS3	A0A2T1DLS3_9CYAN	unreviewed	Peroxiredoxin	C7B69_15940	filamentous cyanobacterium Phorm 46	199	GO:0051920	peroxiredoxin activity [GO:0051920]
A0A2T1DR73	A0A2T1DR73	A0A2T1DR73_9CYAN	unreviewed	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	typA bipA C7B69_15160	filamentous cyanobacterium Phorm 46	596	GO:0000027; GO:0000049; GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]
A0A2T1DSJ7	A0A2T1DSJ7	A0A2T1DSJ7_9CYAN	unreviewed	Fasciclin	C7B82_31090	Stenomitos frigidus ULC18	133		
A0A2T1DTX0	A0A2T1DTX0	A0A2T1DTX0_9CYAN	unreviewed	Photosystem I reaction center subunit II	C7B69_14000	filamentous cyanobacterium Phorm 46	141	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A2T1DYR8	A0A2T1DYR8	A0A2T1DYR8_9CYAN	unreviewed	Carbon dioxide concentrating mechanism protein CcmM (Carboxysome assembly protein CcmM)	C7B69_12345	filamentous cyanobacterium Phorm 46	552	GO:0043886	structural constituent of carboxysome [GO:0043886]
A0A2T1E003	A0A2T1E003	A0A2T1E003_9CYAN	unreviewed	Bleomycin hydrolase	C7B69_12025	filamentous cyanobacterium Phorm 46	164	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1E007	A0A2T1E007	A0A2T1E007_9CYAN	unreviewed	Bleomycin hydrolase	C7B69_12020	filamentous cyanobacterium Phorm 46	184	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1E8X3	A0A2T1E8X3	A0A2T1E8X3_9CYAN	unreviewed	Uncharacterized protein	C7B69_09445	filamentous cyanobacterium Phorm 46	183		
A0A2T1E9B3	A0A2T1E9B3	A0A2T1E9B3_9CYAN	unreviewed	50S ribosomal protein L5	rplE rpl5 C7B82_11985	Stenomitos frigidus ULC18	181	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A2T1EA96	A0A2T1EA96	A0A2T1EA96_9CHRO	unreviewed	Phycocyanin subunit alpha	cpcA C7B70_17835	Chlorogloea sp. CCALA 695	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1EA98	A0A2T1EA98	A0A2T1EA98_9CHRO	unreviewed	Phycocyanin subunit beta	C7B70_17840	Chlorogloea sp. CCALA 695	174	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1EEF5	A0A2T1EEF5	A0A2T1EEF5_9CHRO	unreviewed	LysR family transcriptional regulator	C7B70_14485	Chlorogloea sp. CCALA 695	336	GO:0003700	DNA-binding transcription factor activity [GO:0003700]
A0A2T1EGG5	A0A2T1EGG5	A0A2T1EGG5_9CHRO	unreviewed	30S ribosomal protein S7	rpsG rps7 C7B70_12135	Chlorogloea sp. CCALA 695	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A2T1ELH2	A0A2T1ELH2	A0A2T1ELH2_9CYAN	unreviewed	Rhodanese-like domain-containing protein	C7B69_06480	filamentous cyanobacterium Phorm 46	159		
A0A2T1EPB5	A0A2T1EPB5	A0A2T1EPB5_9CHRO	unreviewed	Allophycocyanin	C7B70_03620	Chlorogloea sp. CCALA 695	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1ER88	A0A2T1ER88	A0A2T1ER88_9CYAN	unreviewed	Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L)	psaL C7B82_01040	Stenomitos frigidus ULC18	179	GO:0009538; GO:0015979; GO:0016021; GO:0031676	integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
A0A2T1EU11	A0A2T1EU11	A0A2T1EU11_9CYAN	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH C7B69_04785	filamentous cyanobacterium Phorm 46	623	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]
A0A2T1EVW3	A0A2T1EVW3	A0A2T1EVW3_9CYAN	unreviewed	Phycobilisome rod-core linker polypeptide CpcG	C7B69_04120	filamentous cyanobacterium Phorm 46	251	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
A0A2T1F3L8	A0A2T1F3L8	A0A2T1F3L8_9CYAN	unreviewed	Photosystem reaction center subunit H	C7B69_02235	filamentous cyanobacterium Phorm 46	285	GO:0019684; GO:0030077; GO:0045156	plasma membrane light-harvesting complex [GO:0030077]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthesis, light reaction [GO:0019684]
A0A2T1F423	A0A2T1F423	A0A2T1F423_9CYAN	unreviewed	Red carotenoid-binding protein	C7B69_01700	filamentous cyanobacterium Phorm 46	320	GO:0016037; GO:0018298; GO:0030089; GO:0031404	phycobilisome [GO:0030089]; chloride ion binding [GO:0031404]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]
A0A2T1F9Z9	A0A2T1F9Z9	A0A2T1F9Z9_9CYAN	unreviewed	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	typA bipA C7B67_26125	filamentous cyanobacterium Phorm 6	596	GO:0000027; GO:0000049; GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]
A0A2T1FAW3	A0A2T1FAW3	A0A2T1FAW3_9CYAN	unreviewed	Uncharacterized protein	C7B67_25760	filamentous cyanobacterium Phorm 6	295		
A0A2T1FCA5	A0A2T1FCA5	A0A2T1FCA5_9CYAN	unreviewed	Rhodanese-like domain-containing protein	C7B67_25045	filamentous cyanobacterium Phorm 6	159		
A0A2T1FDS3	A0A2T1FDS3	A0A2T1FDS3_9CHRO	unreviewed	Phycocyanin subunit beta	C7B80_25265	Cyanosarcina cf. burmensis CCALA 770	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1FFX2	A0A2T1FFX2	A0A2T1FFX2_9CHRO	unreviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	glpX C7B80_22540	Cyanosarcina cf. burmensis CCALA 770	345	GO:0006071; GO:0006094; GO:0019253; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
A0A2T1FG28	A0A2T1FG28	A0A2T1FG28_9CYAN	unreviewed	Photosystem I reaction center subunit II	C7B67_23295	filamentous cyanobacterium Phorm 6	141	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A2T1FGF6	A0A2T1FGF6	A0A2T1FGF6_9CYAN	unreviewed	50S ribosomal protein L15	rplO C7B67_23095	filamentous cyanobacterium Phorm 6	148	GO:0003735; GO:0006412; GO:0015934; GO:0019843	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1FH17	A0A2T1FH17	A0A2T1FH17_9CYAN	unreviewed	DNA recombination-mediator protein A	C7B67_22790	filamentous cyanobacterium Phorm 6	167		
A0A2T1FMU4	A0A2T1FMU4	A0A2T1FMU4_9CYAN	unreviewed	Phycocyanin subunit beta	C7B67_20485	filamentous cyanobacterium Phorm 6	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1FPT4	A0A2T1FPT4	A0A2T1FPT4_9CYAN	unreviewed	Histidine kinase	C7B67_19620	filamentous cyanobacterium Phorm 6	402	GO:0016301	kinase activity [GO:0016301]
A0A2T1FQR3	A0A2T1FQR3	A0A2T1FQR3_9CYAN	unreviewed	Carbohydrate porin (Fragment)	C7B77_24390	Chamaesiphon polymorphus CCALA 037	438	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2T1FWQ2	A0A2T1FWQ2	A0A2T1FWQ2_9CYAN	unreviewed	Uncharacterized protein	C7B67_16880	filamentous cyanobacterium Phorm 6	173		
A0A2T1FYF9	A0A2T1FYF9	A0A2T1FYF9_9CYAN	unreviewed	Bleomycin hydrolase	C7B67_15900	filamentous cyanobacterium Phorm 6	164	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1FYG1	A0A2T1FYG1	A0A2T1FYG1_9CYAN	unreviewed	Bleomycin hydrolase	C7B67_15895	filamentous cyanobacterium Phorm 6	184	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1FYM6	A0A2T1FYM6	A0A2T1FYM6_9CYAN	unreviewed	SpoVT-AbrB domain-containing protein	C7B77_23165	Chamaesiphon polymorphus CCALA 037	128	GO:0003677	DNA binding [GO:0003677]
A0A2T1G242	A0A2T1G242	A0A2T1G242_9CYAN	unreviewed	Red carotenoid-binding protein	C7B67_11400	filamentous cyanobacterium Phorm 6	321	GO:0016037; GO:0018298; GO:0030089; GO:0031404	phycobilisome [GO:0030089]; chloride ion binding [GO:0031404]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]
A0A2T1G2R5	A0A2T1G2R5	A0A2T1G2R5_9CYAN	unreviewed	Ribulose bisphosphate carboxylase small subunit	C7B67_10455	filamentous cyanobacterium Phorm 6	111	GO:0016984	ribulose-bisphosphate carboxylase activity [GO:0016984]
A0A2T1G2X4	A0A2T1G2X4	A0A2T1G2X4_9CYAN	unreviewed	Type 1 glutamine amidotransferase	C7B67_10265	filamentous cyanobacterium Phorm 6	365	GO:0006541; GO:0016740	transferase activity [GO:0016740]; glutamine metabolic process [GO:0006541]
A0A2T1G3I9	A0A2T1G3I9	A0A2T1G3I9_9CYAN	unreviewed	Phospholipid-binding protein	C7B67_09470	filamentous cyanobacterium Phorm 6	114		
A0A2T1G538	A0A2T1G538	A0A2T1G538_9CYAN	unreviewed	Peroxiredoxin	C7B67_07390	filamentous cyanobacterium Phorm 6	199	GO:0051920	peroxiredoxin activity [GO:0051920]
A0A2T1G5I5	A0A2T1G5I5	A0A2T1G5I5_9CYAN	unreviewed	Carbon dioxide concentrating mechanism protein CcmM (Carboxysome assembly protein CcmM)	C7B67_07070	filamentous cyanobacterium Phorm 6	552	GO:0043886	structural constituent of carboxysome [GO:0043886]
A0A2T1G5U9	A0A2T1G5U9	A0A2T1G5U9_9CYAN	unreviewed	Phycobilisome rod-core linker polypeptide CpcG	C7B67_06770	filamentous cyanobacterium Phorm 6	251	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
A0A2T1G6F0	A0A2T1G6F0	A0A2T1G6F0_9CYAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	gap C7B67_05695	filamentous cyanobacterium Phorm 6	339	GO:0006006; GO:0016620; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]
A0A2T1G6L0	A0A2T1G6L0	A0A2T1G6L0_9CYAN	unreviewed	AbrB family transcriptional regulator	C7B67_05295	filamentous cyanobacterium Phorm 6	135	GO:0003677	DNA binding [GO:0003677]
A0A2T1G742	A0A2T1G742	A0A2T1G742_9CYAN	unreviewed	Uncharacterized protein	C7B67_04515	filamentous cyanobacterium Phorm 6	873		
A0A2T1G8M6	A0A2T1G8M6	A0A2T1G8M6_9CYAN	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH C7B67_02915	filamentous cyanobacterium Phorm 6	623	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]
A0A2T1G998	A0A2T1G998	A0A2T1G998_9CYAN	unreviewed	Photosystem reaction center subunit H	C7B67_01350	filamentous cyanobacterium Phorm 6	285	GO:0019684; GO:0030077; GO:0045156	plasma membrane light-harvesting complex [GO:0030077]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthesis, light reaction [GO:0019684]
A0A2T1G9C6	A0A2T1G9C6	A0A2T1G9C6_9CYAN	unreviewed	Diguanylate cyclase	C7B67_01595	filamentous cyanobacterium Phorm 6	160	GO:0010181	FMN binding [GO:0010181]
A0A2T1GA01	A0A2T1GA01	A0A2T1GA01_9CYAN	unreviewed	Uncharacterized protein	C7B77_19060	Chamaesiphon polymorphus CCALA 037	532	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A2T1GB20	A0A2T1GB20	A0A2T1GB20_9CYAN	unreviewed	Bleomycin hydrolase	C7B77_17960	Chamaesiphon polymorphus CCALA 037	164	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A2T1GBB8	A0A2T1GBB8	A0A2T1GBB8_9CYAN	unreviewed	Photosystem I 16 kDa polypeptide (Photosystem I reaction center subunit II)	C7B77_17665	Chamaesiphon polymorphus CCALA 037	138	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
A0A2T1GBC7	A0A2T1GBC7	A0A2T1GBC7_9CYAN	unreviewed	Carbon dioxide-concentrating mechanism protein CcmK	C7B77_17600	Chamaesiphon polymorphus CCALA 037	117	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
