yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A261KK68	A0A261KK68	A0A261KK68_9CYAN	unreviewed	Cell division protein SepF	sepF AFK68_28370	Hydrocoleum sp. CS-953	212	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A261Q6A7	A0A261Q6A7	A0A261Q6A7_9BACT	unreviewed	Polyisoprenoid-binding protein	BWI93_12045	Siphonobacter sp. BAB-5385	190		
A0A285ZUL9	A0A285ZUL9	A0A285ZUL9_9SPHI	unreviewed	Carboxypeptidase regulatory-like domain-containing protein	SAMN06297358_1172	Pedobacter xixiisoli	1077	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A286B3G6	A0A286B3G6	A0A286B3G6_9BURK	unreviewed	CHRD domain-containing protein	SAMN05518800_4305	Variovorax sp. YR752	149		
A0A286RKZ9	A0A286RKZ9	A0A286RKZ9_9BACT	unreviewed	Sensory subunit of low CO2-induced protein complex, putative	THTE_4039	Thermogutta terrifontis	178		
A0A290SDP7	A0A290SDP7	A0A290SDP7_9GAMM	unreviewed	FAS1 domain-containing protein	PISS_a1869	Pseudoalteromonas issachenkonii	166		
A0A290TG38	A0A290TG38	A0A290TG38_9GAMM	unreviewed	FAS1 domain-containing protein	PTET_a1935	Pseudoalteromonas tetraodonis	166		
A0A2A2G8X4	A0A2A2G8X4	A0A2A2G8X4_9BACT	unreviewed	Hydroxyacid dehydrogenase	CK503_10670	Aliifodinibius sp. WN023	349	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2A2QVA1	A0A2A2QVA1	A0A2A2QVA1_9BACT	unreviewed	Uncharacterized protein	B9S38_03115	Verrucomicrobiae bacterium Tous-C4TDCM	344		
A0A2A2TIJ2	A0A2A2TIJ2	A0A2A2TIJ2_9CYAN	unreviewed	Uncharacterized protein	CK510_13325	Calothrix elsteri CCALA 953	142		
A0A2A2TM05	A0A2A2TM05	A0A2A2TM05_9CYAN	unreviewed	ADP-ribose pyrophosphatase	CK510_06660	Calothrix elsteri CCALA 953	117		
A0A2A2TMF8	A0A2A2TMF8	A0A2A2TMF8_9CYAN	unreviewed	Uncharacterized protein	CK510_06625	Calothrix elsteri CCALA 953	179	GO:0016021	integral component of membrane [GO:0016021]
A0A2A2TQR1	A0A2A2TQR1	A0A2A2TQR1_9CYAN	unreviewed	High light inducible protein	CK510_01590	Calothrix elsteri CCALA 953	70	GO:0016021	integral component of membrane [GO:0016021]
A0A2E1XUG2	A0A2E1XUG2	A0A2E1XUG2_9RHIZ	unreviewed	Superoxide dismutase (EC 1.15.1.1)	CMJ42_05410	Phyllobacteriaceae bacterium	200	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A2E2EJQ6	A0A2E2EJQ6	A0A2E2EJQ6_9PROT	unreviewed	Hydroxyacid dehydrogenase	CME66_11450	Halobacteriovoraceae bacterium	349	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2E2M2R3	A0A2E2M2R3	A0A2E2M2R3_PSEAS	unreviewed	Fasciclin	CMK69_15800	Pseudoalteromonas sp.	166		
A0A2E3HYK1	A0A2E3HYK1	A0A2E3HYK1_9BACT	unreviewed	Beta-Ig-H3/fasciclin (Fragment)	CMK22_12045	Candidatus Poribacteria bacterium	222		
A0A2E9T7D9	A0A2E9T7D9	A0A2E9T7D9_9FLAO	unreviewed	Uncharacterized protein	CMD29_03265	Flavobacteriales bacterium	496	GO:0005198	structural molecule activity [GO:0005198]
A0A2F0AT21	A0A2F0AT21	A0A2F0AT21_9DELT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL CMH52_12355	Myxococcales bacterium	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A2G1LXE8	A0A2G1LXE8	A0A2G1LXE8_9SPHN	unreviewed	TonB-dependent receptor	CG471_03130	Sphingobium sp. IP1	991	GO:0009279	cell outer membrane [GO:0009279]
A0A2G2EE68	A0A2G2EE68	A0A2G2EE68_COLSX	unreviewed	Fasciclin	COA35_25890	Colwellia sp.	166		
A0A2G3LJX0	A0A2G3LJX0	A0A2G3LJX0_9BURK	unreviewed	Uncharacterized protein	CSQ93_06280	Janthinobacterium sp. BJB426	503		
A0A2G7D2R9	A0A2G7D2R9	A0A2G7D2R9_9ACTN	unreviewed	Putative cold-shock DNA-binding protein	CLT74_1441	Verrucosispora sp. CNZ293	67	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A2H0AUE0	A0A2H0AUE0	A0A2H0AUE0_9CHLR	unreviewed	30S ribosomal protein S19	rpsS COX14_01345	Chloroflexi bacterium CG23_combo_of_CG06-09_8_20_14_all_45_10	98	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2H5EYT0	A0A2H5EYT0	A0A2H5EYT0_9RHOB	unreviewed	30S ribosomal protein S19	rpsS CX676_10015	Paracoccus zhejiangensis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2H6BQQ0	A0A2H6BQQ0	A0A2H6BQQ0_MICAE	unreviewed	Arsenic-transporting ATPase	NIES298_17120	Microcystis aeruginosa NIES-298	358		
A0A2H6LDL4	A0A2H6LDL4	A0A2H6LDL4_9NOSO	unreviewed	Cell division protein SepF	sepF NCWK1_1051	Nostoc cycadae WK-1	198	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A2H6LGY2	A0A2H6LGY2	A0A2H6LGY2_9NOSO	unreviewed	Oxidoreductase	NCWK1_2161	Nostoc cycadae WK-1	249	GO:0016491	oxidoreductase activity [GO:0016491]
A0A2M6ZWB4	A0A2M6ZWB4	A0A2M6ZWB4_9CHLR	unreviewed	30S ribosomal protein S19	rpsS COS87_01425	Chloroflexi bacterium CG07_land_8_20_14_0_80_45_17	98	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2M9KFQ7	A0A2M9KFQ7	A0A2M9KFQ7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES CG724_15410	Streptomyces sp. CB02120-2	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2N0TXM9	A0A2N0TXM9	A0A2N0TXM9_9FLAO	unreviewed	Hydroxyacid dehydrogenase	APR40_10445	Salegentibacter salarius	349	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2N1RBR9	A0A2N1RBR9	A0A2N1RBR9_9SPIR	unreviewed	Amino acid ABC transporter substrate-binding protein	CVV52_16655	Spirochaetae bacterium HGW-Spirochaetae-8	388		
A0A2N6LUT6	A0A2N6LUT6	A0A2N6LUT6_9CYAN	unreviewed	Cell division protein SepF	sepF CEN40_26075	Fischerella thermalis CCMEE 5205	199	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A2N7B5F1	A0A2N7B5F1	A0A2N7B5F1_9BACT	unreviewed	Polyisoprenoid-binding protein	BWI97_22480	Siphonobacter sp. BAB-5405	190		
A0A2N7RN20	A0A2N7RN20	A0A2N7RN20_9BURK	unreviewed	Uncharacterized protein	JaAD80_16460	Janthinobacterium sp. AD80	499		
A0A2N7WVG4	A0A2N7WVG4	A0A2N7WVG4_9BURK	unreviewed	NAD(P)-dependent alcohol dehydrogenase	C0Z20_24260	Trinickia symbiotica	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2P1V4C5	A0A2P1V4C5	A0A2P1V4C5_9BURK	unreviewed	CHRD domain-containing protein	C4F17_03200	Variovorax sp. PMC12	149		
A0A2P2CBG7	A0A2P2CBG7	A0A2P2CBG7_9ZZZZ	unreviewed	10kDa chaperonin	groS NOCA2580018	metagenome	102	GO:0005524; GO:0006457; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2P2DWM9	A0A2P2DWM9	A0A2P2DWM9_9LEPT	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	LPTSP4_05310	Leptospira ryugenii	126	GO:0003755	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A2R3Z6J4	A0A2R3Z6J4	A0A2R3Z6J4_9FLAO	unreviewed	Hydroxyacid dehydrogenase	C7S20_11945	Gramella fulva	348	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2S3ZGR0	A0A2S3ZGR0	A0A2S3ZGR0_9MICO	unreviewed	Integration host factor	C3B59_10610 C3B61_08130	Cryobacterium zongtaii	95	GO:0003677	DNA binding [GO:0003677]
A0A2S5VHK9	A0A2S5VHK9	A0A2S5VHK9_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES C5E11_12370	Clavibacter michiganensis	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A2S6CVT0	A0A2S6CVT0	A0A2S6CVT0_9CYAN	unreviewed	30S ribosomal protein S13	rpsM rps13 CUN59_07955	Cuspidothrix issatschenkoi CHARLIE-1	126	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A2S6NGX4	A0A2S6NGX4	A0A2S6NGX4_9RHIZ	unreviewed	30S ribosomal protein S19	rpsS CCR94_00895 GGD83_000378	Rhodoblastus sphagnicola	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2S7IIC1	A0A2S7IIC1	A0A2S7IIC1_9BACT	unreviewed	Polyisoprenoid-binding protein	C5O19_19465	Siphonobacter curvatus	190		
A0A2S7J8C4	A0A2S7J8C4	A0A2S7J8C4_9BURK	unreviewed	Glycerophosphodiester phosphodiesterase	C5F53_16235	Rhodoferax sp. TS-BS-61-7	391	GO:0006629; GO:0008081	phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]
A0A2S7KW04	A0A2S7KW04	A0A2S7KW04_9FLAO	unreviewed	Hydroxyacid dehydrogenase	BST83_05790	Polaribacter filamentus	351	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A2S8GYZ5	A0A2S8GYZ5	A0A2S8GYZ5_9BURK	unreviewed	Uncharacterized protein	C5614_24750	Massilia phosphatilytica	954	GO:0009279	cell outer membrane [GO:0009279]
A0A2S9J4U9	A0A2S9J4U9	A0A2S9J4U9_9SPHI	unreviewed	TonB-dependent receptor	C5745_07805	Sphingobacterium haloxyli	1094	GO:0030246	carbohydrate binding [GO:0030246]
A0A2S9J4V9	A0A2S9J4V9	A0A2S9J4V9_9SPHI	unreviewed	TonB-dependent receptor	C5745_07855	Sphingobacterium haloxyli	1083	GO:0030246	carbohydrate binding [GO:0030246]
A0A2T1C4D4	A0A2T1C4D4	A0A2T1C4D4_9CYAN	unreviewed	Uncharacterized protein	C7B64_10125	Merismopedia glauca CCAP 1448/3	274		
A0A2T1CW61	A0A2T1CW61	A0A2T1CW61_9CYAN	unreviewed	Cell division protein SepF	sepF C7B69_21115	filamentous cyanobacterium Phorm 46	205	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A2T1D3W8	A0A2T1D3W8	A0A2T1D3W8_9CYAN	unreviewed	Phosphodiesterase	C7B65_25075	Phormidesmis priestleyi ULC007	737	GO:0003824	catalytic activity [GO:0003824]
A0A2T1D3X4	A0A2T1D3X4	A0A2T1D3X4_9CYAN	unreviewed	HU family DNA-binding protein	C7B65_24965	Phormidesmis priestleyi ULC007	94	GO:0003677	DNA binding [GO:0003677]
A0A2T1D4W7	A0A2T1D4W7	A0A2T1D4W7_9CYAN	unreviewed	Alkaline phosphatase	C7B65_24155	Phormidesmis priestleyi ULC007	651	GO:0016791	phosphatase activity [GO:0016791]
A0A2T1D5T1	A0A2T1D5T1	A0A2T1D5T1_9CYAN	unreviewed	Transketolase (EC 2.2.1.1)	tkt C7B65_23510	Phormidesmis priestleyi ULC007	668	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
A0A2T1D5Y9	A0A2T1D5Y9	A0A2T1D5Y9_9CYAN	unreviewed	Uncharacterized protein	C7B65_23040	Phormidesmis priestleyi ULC007	325	GO:0016021	integral component of membrane [GO:0016021]
A0A2T1D614	A0A2T1D614	A0A2T1D614_9CYAN	unreviewed	N-acetylmuramoyl-L-alanine amidase	C7B65_23085	Phormidesmis priestleyi ULC007	638	GO:0008745; GO:0009253; GO:0016021	integral component of membrane [GO:0016021]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; peptidoglycan catabolic process [GO:0009253]
A0A2T1D6C1	A0A2T1D6C1	A0A2T1D6C1_9CYAN	unreviewed	UPF0367 protein C7B65_22880	C7B65_22880	Phormidesmis priestleyi ULC007	88		
A0A2T1D6L3	A0A2T1D6L3	A0A2T1D6L3_9CYAN	unreviewed	Zn-dependent hydrolase	C7B65_22635	Phormidesmis priestleyi ULC007	255	GO:0016787	hydrolase activity [GO:0016787]
A0A2T1D6P2	A0A2T1D6P2	A0A2T1D6P2_9CYAN	unreviewed	Uncharacterized protein	C7B65_22405	Phormidesmis priestleyi ULC007	232		
A0A2T1D758	A0A2T1D758	A0A2T1D758_9CYAN	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe C7B65_22045	Phormidesmis priestleyi ULC007	234	GO:0004750; GO:0006098; GO:0019323; GO:0046872	metal ion binding [GO:0046872]; ribulose-phosphate 3-epimerase activity [GO:0004750]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]
A0A2T1D781	A0A2T1D781	A0A2T1D781_9CYAN	unreviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	C7B65_22025	Phormidesmis priestleyi ULC007	502	GO:0004616; GO:0006098; GO:0019521; GO:0050661	NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]
A0A2T1D7A7	A0A2T1D7A7	A0A2T1D7A7_9CYAN	unreviewed	Peptidase_C39_2 domain-containing protein	C7B65_21795	Phormidesmis priestleyi ULC007	538		
A0A2T1D7J4	A0A2T1D7J4	A0A2T1D7J4_9CYAN	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	C7B65_21625	Phormidesmis priestleyi ULC007	186	GO:0003755	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A2T1D861	A0A2T1D861	A0A2T1D861_9CYAN	unreviewed	Phosphate-binding protein	pstS C7B65_20825	Phormidesmis priestleyi ULC007	379	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A2T1D8Q9	A0A2T1D8Q9	A0A2T1D8Q9_9CYAN	unreviewed	DUF1565 domain-containing protein	C7B65_20390	Phormidesmis priestleyi ULC007	739		
A0A2T1D8R8	A0A2T1D8R8	A0A2T1D8R8_9CYAN	unreviewed	Putative selenate ABC transporter substrate-binding protein	C7B65_20450	Phormidesmis priestleyi ULC007	305	GO:0043190; GO:0055085	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]
A0A2T1D977	A0A2T1D977	A0A2T1D977_9CYAN	unreviewed	Uncharacterized protein	C7B65_19820	Phormidesmis priestleyi ULC007	1201		
A0A2T1D9F0	A0A2T1D9F0	A0A2T1D9F0_9CYAN	unreviewed	Cell envelope biogenesis protein OmpA	C7B65_19815	Phormidesmis priestleyi ULC007	706	GO:0016021	integral component of membrane [GO:0016021]
A0A2T1D9K3	A0A2T1D9K3	A0A2T1D9K3_9CYAN	unreviewed	BMP family ABC transporter substrate-binding protein	C7B65_19635	Phormidesmis priestleyi ULC007	422	GO:0005886	plasma membrane [GO:0005886]
A0A2T1DAQ6	A0A2T1DAQ6	A0A2T1DAQ6_9CYAN	unreviewed	Carbon dioxide concentrating mechanism protein CcmL	C7B65_18050	Phormidesmis priestleyi ULC007	99		
A0A2T1DAS5	A0A2T1DAS5	A0A2T1DAS5_9CYAN	unreviewed	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	rpiA C7B65_18090	Phormidesmis priestleyi ULC007	236	GO:0004751; GO:0009052	ribose-5-phosphate isomerase activity [GO:0004751]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]
A0A2T1DAY7	A0A2T1DAY7	A0A2T1DAY7_9CYAN	unreviewed	Carbon dioxide concentrating mechanism protein CcmM (Carboxysome assembly protein CcmM)	C7B65_18055	Phormidesmis priestleyi ULC007	666	GO:0043886	structural constituent of carboxysome [GO:0043886]
A0A2T1DC81	A0A2T1DC81	A0A2T1DC81_9CYAN	unreviewed	Rhodanese-like domain-containing protein	C7B65_16460	Phormidesmis priestleyi ULC007	160		
A0A2T1DCQ2	A0A2T1DCQ2	A0A2T1DCQ2_9CYAN	unreviewed	DUF1565 domain-containing protein	C7B65_16270	Phormidesmis priestleyi ULC007	562		
A0A2T1DCX1	A0A2T1DCX1	A0A2T1DCX1_9CYAN	unreviewed	Probable phosphoketolase (EC 4.1.2.-)	C7B65_15685	Phormidesmis priestleyi ULC007	832	GO:0005975; GO:0016832	aldehyde-lyase activity [GO:0016832]; carbohydrate metabolic process [GO:0005975]
A0A2T1DCX7	A0A2T1DCX7	A0A2T1DCX7_9CYAN	unreviewed	TolC family protein	C7B65_15565	Phormidesmis priestleyi ULC007	633	GO:0015562	efflux transmembrane transporter activity [GO:0015562]
A0A2T1DDJ6	A0A2T1DDJ6	A0A2T1DDJ6_9CYAN	unreviewed	DUF3769 domain-containing protein	C7B65_14635	Phormidesmis priestleyi ULC007	754		
A0A2T1DE63	A0A2T1DE63	A0A2T1DE63_9CYAN	unreviewed	Uncharacterized protein	C7B65_14370	Phormidesmis priestleyi ULC007	364	GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]
A0A2T1DEF8	A0A2T1DEF8	A0A2T1DEF8_9CYAN	unreviewed	Histidine kinase	C7B65_13930	Phormidesmis priestleyi ULC007	280	GO:0016301	kinase activity [GO:0016301]
A0A2T1DF81	A0A2T1DF81	A0A2T1DF81_9CYAN	unreviewed	Tetratricopeptide repeat protein	C7B65_12600	Phormidesmis priestleyi ULC007	487		
A0A2T1DF88	A0A2T1DF88	A0A2T1DF88_9CYAN	unreviewed	Elongation factor Ts (EF-Ts)	tsf C7B65_12635	Phormidesmis priestleyi ULC007	219	GO:0003746; GO:0005737	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]
A0A2T1DFB1	A0A2T1DFB1	A0A2T1DFB1_9CYAN	unreviewed	Fasciclin domain-containing protein	C7B65_12740	Phormidesmis priestleyi ULC007	138		
A0A2T1DFI9	A0A2T1DFI9	A0A2T1DFI9_9CYAN	unreviewed	RNA-binding protein	C7B65_11950	Phormidesmis priestleyi ULC007	156	GO:0003676	nucleic acid binding [GO:0003676]
A0A2T1DFJ5	A0A2T1DFJ5	A0A2T1DFJ5_9CYAN	unreviewed	CsbD family protein	C7B65_11635	Phormidesmis priestleyi ULC007	62		
A0A2T1DFJ7	A0A2T1DFJ7	A0A2T1DFJ7_9CYAN	unreviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk C7B65_11885	Phormidesmis priestleyi ULC007	400	GO:0004618; GO:0005524; GO:0005737; GO:0006096	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]
A0A2T1DFM3	A0A2T1DFM3	A0A2T1DFM3_9CYAN	unreviewed	OstA-like family protein	C7B65_11860	Phormidesmis priestleyi ULC007	172		
A0A2T1DFZ4	A0A2T1DFZ4	A0A2T1DFZ4_9CYAN	unreviewed	50S ribosomal protein L11	rplK rpl11 C7B65_10945	Phormidesmis priestleyi ULC007	141	GO:0003735; GO:0005840; GO:0006412; GO:0070180	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DFZ9	A0A2T1DFZ9	A0A2T1DFZ9_9CYAN	unreviewed	Insulinase family protein	C7B65_10900	Phormidesmis priestleyi ULC007	934	GO:0046872	metal ion binding [GO:0046872]
A0A2T1DG14	A0A2T1DG14	A0A2T1DG14_9CYAN	unreviewed	Uncharacterized protein	C7B65_10850	Phormidesmis priestleyi ULC007	167		
A0A2T1DG78	A0A2T1DG78	A0A2T1DG78_9CYAN	unreviewed	Uncharacterized protein	C7B65_11370	Phormidesmis priestleyi ULC007	195		
A0A2T1DGR2	A0A2T1DGR2	A0A2T1DGR2_9CYAN	unreviewed	High light inducible protein	C7B65_10235	Phormidesmis priestleyi ULC007	67		
A0A2T1DHK0	A0A2T1DHK0	A0A2T1DHK0_9CYAN	unreviewed	50S ribosomal protein L27	rpmA rpl27 C7B65_10000	Phormidesmis priestleyi ULC007	92	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A2T1DHX0	A0A2T1DHX0	A0A2T1DHX0_9CYAN	unreviewed	DNA recombination-mediator protein A	C7B65_08385	Phormidesmis priestleyi ULC007	167		
A0A2T1DI12	A0A2T1DI12	A0A2T1DI12_9CYAN	unreviewed	Fe-S cluster assembly protein SufD	sufD C7B65_08415	Phormidesmis priestleyi ULC007	447	GO:0016226	iron-sulfur cluster assembly [GO:0016226]
A0A2T1DIB3	A0A2T1DIB3	A0A2T1DIB3_9CYAN	unreviewed	Thiamine biosynthesis protein	C7B65_08980	Phormidesmis priestleyi ULC007	335		
A0A2T1DIH2	A0A2T1DIH2	A0A2T1DIH2_9CYAN	unreviewed	Cytochrome b6-f complex iron-sulfur subunit (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (ISP) (RISP) (Rieske iron-sulfur protein)	petC C7B65_07400	Phormidesmis priestleyi ULC007	180	GO:0009496; GO:0015979; GO:0016021; GO:0045158; GO:0046872; GO:0051537	integral component of membrane [GO:0016021]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; metal ion binding [GO:0046872]; plastoquinol--plastocyanin reductase activity [GO:0009496]; photosynthesis [GO:0015979]
A0A2T1DIK6	A0A2T1DIK6	A0A2T1DIK6_9CYAN	unreviewed	Cytochrome f	petA C7B65_07395	Phormidesmis priestleyi ULC007	328	GO:0005506; GO:0009055; GO:0015979; GO:0020037; GO:0031361; GO:0031676	integral component of thylakoid membrane [GO:0031361]; plasma membrane-derived thylakoid membrane [GO:0031676]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthesis [GO:0015979]
A0A2T1DIU0	A0A2T1DIU0	A0A2T1DIU0_9CYAN	unreviewed	Uncharacterized protein	C7B65_07875	Phormidesmis priestleyi ULC007	194		
A0A2T1DJK5	A0A2T1DJK5	A0A2T1DJK5_9CYAN	unreviewed	Aldo/keto reductase	C7B65_07210	Phormidesmis priestleyi ULC007	317	GO:0005244; GO:0006813; GO:0034765; GO:0047834	D-threo-aldose 1-dehydrogenase activity [GO:0047834]; voltage-gated ion channel activity [GO:0005244]; potassium ion transport [GO:0006813]; regulation of ion transmembrane transport [GO:0034765]
A0A2T1DJT0	A0A2T1DJT0	A0A2T1DJT0_9CYAN	unreviewed	UPF0173 metal-dependent hydrolase C7B65_07085	C7B65_07085	Phormidesmis priestleyi ULC007	278	GO:0016787	hydrolase activity [GO:0016787]
A0A2T1DKM2	A0A2T1DKM2	A0A2T1DKM2_9CYAN	unreviewed	Glycerophosphodiester phosphodiesterase	C7B65_05990	Phormidesmis priestleyi ULC007	796	GO:0006629; GO:0008081	phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]
A0A2T1DKN7	A0A2T1DKN7	A0A2T1DKN7_9CYAN	unreviewed	Uncharacterized protein	C7B65_05220	Phormidesmis priestleyi ULC007	164		
A0A2T1DKW8	A0A2T1DKW8	A0A2T1DKW8_9CYAN	unreviewed	Single-stranded DNA-binding protein	C7B65_04145	Phormidesmis priestleyi ULC007	159	GO:0003697	single-stranded DNA binding [GO:0003697]
A0A2T1DKX0	A0A2T1DKX0	A0A2T1DKX0_9CYAN	unreviewed	Peptidase S41	C7B65_04190	Phormidesmis priestleyi ULC007	437	GO:0008236	serine-type peptidase activity [GO:0008236]
A0A2T1DL03	A0A2T1DL03	A0A2T1DL03_9CYAN	unreviewed	Photosystem I reaction center subunit XII	C7B65_04095	Phormidesmis priestleyi ULC007	286	GO:0015979; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
A0A2T1DL36	A0A2T1DL36	A0A2T1DL36_9CYAN	unreviewed	Cell division protein SepF	sepF C7B65_04620	Phormidesmis priestleyi ULC007	204	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A2T1DLE8	A0A2T1DLE8	A0A2T1DLE8_9CYAN	unreviewed	Phycobilisome linker polypeptide	C7B65_04100	Phormidesmis priestleyi ULC007	89	GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]
A0A2T1DLH9	A0A2T1DLH9	A0A2T1DLH9_9CYAN	unreviewed	Phosphate-binding protein	pstS C7B65_04380	Phormidesmis priestleyi ULC007	345	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A2T1DLU5	A0A2T1DLU5	A0A2T1DLU5_9CYAN	unreviewed	30S ribosomal protein S13	rpsM rps13 C7B65_02490	Phormidesmis priestleyi ULC007	127	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
