"","Accession","n","Protein.Group","Description","codes","K2","K4","B1","B2","B3","B5","B6","K3","K5","B4","K1"
"213","tr|A0A2G4EYB1|A0A2G4EYB1_9CYAN",8,660,"Ribulose bisphosphate carboxylase large chain OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=rbcL PE=3 SV=1",2040638,13,7,3,2,NA,3,NA,10,5,NA,3
"214","tr|A0A2G4EYE5|A0A2G4EYE5_9CYAN",8,582,"30S ribosomal protein S1 OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_015965 PE=4 SV=1",2040638,19,11,NA,3,5,3,3,2,7,NA,NA
"215","tr|A0A2G4F0E3|A0A2G4F0E3_9CYAN",3,2332,"Superoxide dismutase OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_011895 PE=3 SV=1",2040638,4,2,NA,NA,NA,NA,NA,4,NA,NA,NA
"216","tr|A0A2G4F274|A0A2G4F274_9CYAN",9,430,"Porin OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_008415 PE=3 SV=1",2040638,8,3,9,8,13,8,7,7,2,NA,NA
"217","tr|A0A2G4F282|A0A2G4F282_9CYAN",4,280,"Bleomycin hydrolase OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_008440 PE=3 SV=1",2040638,74,15,NA,NA,NA,NA,NA,21,6,NA,NA
"218","tr|A0A2G4F432|A0A2G4F432_9CYAN",8,413,"Chaperone protein DnaK OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=dnaK PE=2 SV=1",2040638,20,18,4,14,3,3,8,5,NA,NA,NA
"219","tr|A0A2G4F618|A0A2G4F618_9CYAN",2,2111,"50S ribosomal protein L15 OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=rplO PE=3 SV=1",2040638,10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"220","tr|A0A2G4F675|A0A2G4F675_9CYAN",2,2162,"Phycobiliprotein ApcE OS=Tychonema bourrellyi FEM_GT703 OX=2040638 GN=CP500_002560 PE=3 SV=1",2040638,7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"221","tr|A0A2G8KRV2|A0A2G8KRV2_STIJA",2,1198,"Tubulin beta chain OS=Stichopus japonicus OX=307972 GN=BSL78_12375 PE=3 SV=1",307972,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","tr|A0A2H5EYT0|A0A2H5EYT0_9RHOB",2,1604,"30S ribosomal protein S19 OS=Paracoccus zhejiangensis OX=1077935 GN=rpsS PE=3 SV=1",1077935,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"223","tr|A0A2H5XBS4|A0A2H5XBS4_9BACT",7,1424,"Immunogenic protein MPB70 OS=bacterium HR17 OX=2035412 GN=HRbin17_01147 PE=4 SV=1",2035412,2,2,8,2,4,NA,2,2,NA,NA,NA
"224","tr|A0A2H6BNE9|A0A2H6BNE9_MICAE",2,2756,"Global nitrogen regulator NtcA OS=Microcystis aeruginosa NIES-298 OX=449468 GN=NIES298_13650 PE=4 SV=1",449468,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"225","tr|A0A2H6BXJ9|A0A2H6BXJ9_MICAE",2,2117,"Phycocyanin subunit beta OS=Microcystis aeruginosa NIES-298 OX=449468 GN=NIES298_30010 PE=3 SV=1",449468,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","tr|A0A2H6LGR0|A0A2H6LGR0_9NOSO",3,560,"Phycobilisome protein OS=Nostoc cycadae WK-1 OX=1861711 GN=NCWK1_2091 PE=3 SV=1",1861711,25,24,NA,NA,NA,NA,NA,NA,6,NA,NA
"227","tr|A0A2H6LLA3|A0A2H6LLA3_9NOSO",4,2059,"Translation initiation factor IF-1 OS=Nostoc cycadae WK-1 OX=1861711 GN=infA PE=3 SV=1",1861711,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"228","tr|A0A2H6LR07|A0A2H6LR07_9NOSO",4,2004,"ATP synthase gamma chain OS=Nostoc cycadae WK-1 OX=1861711 GN=atpG PE=3 SV=1",1861711,4,2,NA,NA,NA,NA,NA,3,NA,NA,4
"229","tr|A0A2K8ST99|A0A2K8ST99_9NOSO",4,1101,"CcmK  carbon dioxide concentrating mechanism protein CcmK OS=Nostoc flagelliforme CCNUN1 OX=2038116 GN=COO91_04648 PE=3 SV=1",2038116,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"230","tr|A0A2N5JP95|A0A2N5JP95_9CYAN",4,1186,"Phycocyanin subunit alpha OS=Cyanobacteria bacterium M5B4 OX=2054928 GN=cpcA PE=3 SV=1",2054928,13,8,NA,NA,NA,NA,NA,3,4,NA,NA
"231","tr|A0A2N6M1L6|A0A2N6M1L6_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Fischerella thermalis CCMEE 5205 OX=2019671 GN=infA PE=3 SV=1",2019671,2,NA,4,4,3,NA,NA,NA,NA,NA,NA
"232","tr|A0A2P1UGR1|A0A2P1UGR1_9CHRO",2,2117,"Phycocyanin subunit beta OS=Microcystis sp. MC19 OX=1967666 GN=B5D77_13085 PE=3 SV=1",1967666,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","tr|A0A2P2CBG7|A0A2P2CBG7_9ZZZZ",2,2341,"10kDa chaperonin OS=metagenome OX=256318 GN=groS PE=3 SV=1",256318,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA
"234","tr|A0A2P6TNM1|A0A2P6TNM1_CHLSO",2,2798,"Eukaryotic translation elongation factor 1 alpha 2 OS=Chlorella sorokiniana OX=3076 GN=C2E21_5641 PE=3 SV=1",3076,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"235","tr|A0A2P6TNV4|A0A2P6TNV4_CHLSO",2,2798,"Eukaryotic translation elongation factor 1 alpha 2 OS=Chlorella sorokiniana OX=3076 GN=C2E21_5643 PE=3 SV=1",3076,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"236","tr|A0A2P8QNZ6|A0A2P8QNZ6_9CYAN",3,338,"Phycocyanin subunit beta OS=Chroococcidiopsis sp. CCALA 051 OX=869949 GN=C7Y66_17135 PE=3 SV=1",869949,46,37,NA,NA,NA,NA,NA,NA,13,NA,NA
"237","tr|A0A2P8QT78|A0A2P8QT78_9CYAN",2,2577,"Allophycocyanin OS=Chroococcidiopsis sp. CCALA 051 OX=869949 GN=C7Y66_08825 PE=3 SV=1",869949,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","tr|A0A2R5FX20|A0A2R5FX20_NOSCO",4,1101,"Microcompartment protein OS=Nostoc commune NIES-4072 OX=2005467 GN=NIES4072_57140 PE=3 SV=1",2005467,9,10,NA,5,3,NA,NA,NA,NA,NA,NA
"239","tr|A0A2S3ZGR0|A0A2S3ZGR0_9MICO",2,3004,"Integration host factor OS=Cryobacterium zongtaii OX=1259217 GN=C3B59_10610 PE=3 SV=1",1259217,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA
"240","tr|A0A2S6NGX4|A0A2S6NGX4_9RHIZ",2,1604,"30S ribosomal protein S19 OS=Rhodoblastus sphagnicola OX=333368 GN=rpsS PE=3 SV=1",333368,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA
"241","tr|A0A2T1CFT4|A0A2T1CFT4_9CYAN",2,2528,"Uncharacterized protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_23700 PE=4 SV=1",2107705,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"242","tr|A0A2T1CXQ4|A0A2T1CXQ4_9CYAN",2,3012,"Organic solvent tolerance protein OstA OS=filamentous cyanobacterium CCP2 OX=2107700 GN=C7B76_21675 PE=4 SV=1",2107700,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","tr|A0A2T1CZ40|A0A2T1CZ40_9CYAN",2,2270,"Uncharacterized protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_20180 PE=4 SV=1",2107705,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"244","tr|A0A2T1CZ47|A0A2T1CZ47_9CYAN",2,2429,"Phospholipid-binding protein OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_20120 PE=4 SV=1",2107705,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"245","tr|A0A2T1D2X3|A0A2T1D2X3_9CYAN",8,340,"RNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_25800 PE=4 SV=1",1920490,5,7,21,14,23,12,9,NA,3,NA,NA
"246","tr|A0A2T1D3J8|A0A2T1D3J8_9CYAN",3,1596,"ATP-dependent Clp protease proteolytic subunit OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=clpP PE=3 SV=1",1920490,2,NA,NA,11,5,NA,NA,NA,NA,NA,NA
"247","tr|A0A2T1D3W8|A0A2T1D3W8_9CYAN",5,352,"Phosphodiesterase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_25075 PE=4 SV=1",1920490,NA,NA,28,18,29,12,5,NA,NA,NA,NA
"248","tr|A0A2T1D3X4|A0A2T1D3X4_9CYAN",4,1019,"HU family DNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24965 PE=3 SV=1",1920490,NA,NA,6,7,14,NA,3,NA,NA,NA,NA
"249","tr|A0A2T1D4W7|A0A2T1D4W7_9CYAN",5,180,"Alkaline phosphatase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_24155 PE=4 SV=1",1920490,NA,NA,37,24,57,28,10,NA,NA,NA,NA
"250","tr|A0A2T1D5P1|A0A2T1D5P1_9CYAN",6,445,"HU family DNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_23695 PE=3 SV=1",1920490,2,NA,10,15,20,10,12,NA,NA,NA,NA
"251","tr|A0A2T1D5T1|A0A2T1D5T1_9CYAN",4,1484,"Transketolase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=tkt PE=3 SV=1",1920490,NA,NA,5,9,3,NA,3,NA,NA,NA,NA
"252","tr|A0A2T1D5Y9|A0A2T1D5Y9_9CYAN",3,2395,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_23040 PE=4 SV=1",1920490,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA
"253","tr|A0A2T1D614|A0A2T1D614_9CYAN",3,1784,"N-acetylmuramoyl-L-alanine amidase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_23085 PE=4 SV=1",1920490,NA,NA,5,NA,7,3,NA,NA,NA,NA,NA
"254","tr|A0A2T1D646|A0A2T1D646_9CYAN",6,1054,"Photosystem II CP43 reaction center protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=psbC PE=3 SV=1",1920490,8,8,NA,7,3,2,2,NA,NA,NA,NA
"255","tr|A0A2T1D6A6|A0A2T1D6A6_9CYAN",7,674,"Phycobiliprotein ApcE OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22910 PE=3 SV=1",1920490,4,6,8,10,11,6,2,NA,NA,NA,NA
"256","tr|A0A2T1D6C1|A0A2T1D6C1_9CYAN",5,446,"UPF0367 protein C7B65_22880 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22880 PE=3 SV=1",1920490,NA,NA,23,9,20,9,9,NA,NA,NA,NA
"257","tr|A0A2T1D6L3|A0A2T1D6L3_9CYAN",4,1736,"Zn-dependent hydrolase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22635 PE=4 SV=1",1920490,NA,NA,4,3,9,NA,2,NA,NA,NA,NA
"258","tr|A0A2T1D6P2|A0A2T1D6P2_9CYAN",3,2292,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22405 PE=4 SV=1",1920490,NA,NA,4,4,2,NA,NA,NA,NA,NA,NA
"259","tr|A0A2T1D781|A0A2T1D781_9CYAN",2,1757,"6-phosphogluconate dehydrogenase  decarboxylating OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_22025 PE=3 SV=1",1920490,NA,NA,NA,11,4,NA,NA,NA,NA,NA,NA
"260","tr|A0A2T1D784|A0A2T1D784_9CYAN",5,784,"Bicarbonate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_21905 PE=3 SV=1",1920490,14,13,4,4,4,NA,NA,NA,NA,NA,NA
"261","tr|A0A2T1D797|A0A2T1D797_9CYAN",9,284,"Chaperone protein DnaK OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=dnaK PE=2 SV=1",1920490,3,6,25,29,20,18,5,NA,2,NA,4
"262","tr|A0A2T1D7A7|A0A2T1D7A7_9CYAN",3,2331,"Peptidase_C39_2 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_21795 PE=4 SV=1",1920490,NA,NA,2,5,4,NA,NA,NA,NA,NA,NA
"263","tr|A0A2T1D7J4|A0A2T1D7J4_9CYAN",4,994,"Peptidyl-prolyl cis-trans isomerase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_21625 PE=3 SV=1",1920490,NA,NA,7,12,8,5,NA,NA,NA,NA,NA
"264","tr|A0A2T1D8C5|A0A2T1D8C5_9CYAN",4,2185,"Histidinol dehydrogenase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=hisD PE=3 SV=1",1920490,3,5,NA,2,2,NA,NA,NA,NA,NA,NA
"265","tr|A0A2T1D8J6|A0A2T1D8J6_9CYAN",7,262,"AMIN domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_20405 PE=3 SV=1",1920490,3,3,26,16,43,12,20,NA,NA,NA,NA
"266","tr|A0A2T1D8Q9|A0A2T1D8Q9_9CYAN",5,919,"DUF1565 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_20390 PE=4 SV=1",1920490,NA,NA,9,4,13,7,2,NA,NA,NA,NA
"267","tr|A0A2T1D8R8|A0A2T1D8R8_9CYAN",2,2820,"Putative selenate ABC transporter substrate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_20450 PE=3 SV=1",1920490,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"268","tr|A0A2T1D977|A0A2T1D977_9CYAN",3,822,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_19820 PE=4 SV=1",1920490,NA,NA,11,9,17,NA,NA,NA,NA,NA,NA
"269","tr|A0A2T1D9F0|A0A2T1D9F0_9CYAN",2,2567,"Cell envelope biogenesis protein OmpA OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_19815 PE=4 SV=1",1920490,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA
"270","tr|A0A2T1D9K3|A0A2T1D9K3_9CYAN",3,1987,"BMP family ABC transporter substrate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_19635 PE=4 SV=1",1920490,NA,NA,4,7,2,NA,NA,NA,NA,NA,NA
"271","tr|A0A2T1DA47|A0A2T1DA47_9CYAN",5,651,"ATP-dependent Clp protease proteolytic subunit OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=clpP PE=3 SV=1",1920490,NA,8,3,14,17,NA,5,NA,NA,NA,NA
"272","tr|A0A2T1DAM9|A0A2T1DAM9_9CYAN",9,634,"Urea ABC transporter substrate-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=urtA PE=4 SV=1",1920490,5,7,2,13,10,2,4,2,NA,NA,5
"273","tr|A0A2T1DAQ6|A0A2T1DAQ6_9CYAN",4,1324,"Carbon dioxide concentrating mechanism protein CcmL OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_18050 PE=4 SV=1",1920490,NA,NA,7,5,6,6,NA,NA,NA,NA,NA
"274","tr|A0A2T1DAS5|A0A2T1DAS5_9CYAN",2,2863,"Ribose-5-phosphate isomerase A OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rpiA PE=3 SV=1",1920490,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"275","tr|A0A2T1DAY7|A0A2T1DAY7_9CYAN",2,2614,"Carbon dioxide concentrating mechanism protein CcmM OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_18055 PE=3 SV=1",1920490,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA
"276","tr|A0A2T1DB53|A0A2T1DB53_9CYAN",2,2172,"Type 1 glutamine amidotransferase OS=filamentous cyanobacterium Phorm 46 OX=2107705 GN=C7B69_17185 PE=3 SV=1",2107705,3,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"277","tr|A0A2T1DB89|A0A2T1DB89_9CYAN",4,1923,"Nucleoid-associated protein C7B65_17660 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_17660 PE=3 SV=1",1920490,NA,NA,2,NA,2,6,NA,NA,NA,NA,2
"278","tr|A0A2T1DBW2|A0A2T1DBW2_9CYAN",7,347,"DUF4331 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_17070 PE=4 SV=1",1920490,6,4,28,21,21,6,8,NA,NA,NA,NA
"279","tr|A0A2T1DC81|A0A2T1DC81_9CYAN",4,809,"Rhodanese-like domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16460 PE=4 SV=1",1920490,NA,NA,9,6,15,9,NA,NA,NA,NA,NA
"280","tr|A0A2T1DC92|A0A2T1DC92_9CYAN",7,706,"Cytochrome c-550 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=psbV PE=3 SV=1",1920490,2,2,15,6,12,6,3,NA,NA,NA,NA
"281","tr|A0A2T1DCE2|A0A2T1DCE2_9CYAN",9,249,"Porin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16480 PE=3 SV=1",1920490,2,10,16,23,30,15,18,2,2,NA,NA
"282","tr|A0A2T1DCM7|A0A2T1DCM7_9CYAN",3,1414,"Photosystem reaction center subunit H OS=filamentous cyanobacterium CCP2 OX=2107700 GN=C7B76_08510 PE=4 SV=1",2107700,NA,14,3,NA,NA,NA,NA,NA,2,NA,NA
"283","tr|A0A2T1DCQ2|A0A2T1DCQ2_9CYAN",4,1174,"DUF1565 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16270 PE=4 SV=1",1920490,NA,NA,5,7,11,NA,3,NA,NA,NA,NA
"284","tr|A0A2T1DCQ5|A0A2T1DCQ5_9CYAN",3,2018,"DUF1257 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_16155 PE=4 SV=1",1920490,2,NA,NA,5,4,NA,NA,NA,NA,NA,NA
"285","tr|A0A2T1DCX1|A0A2T1DCX1_9CYAN",2,1909,"Probable phosphoketolase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15685 PE=3 SV=1",1920490,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA
"286","tr|A0A2T1DCX7|A0A2T1DCX7_9CYAN",5,680,"TolC family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15565 PE=3 SV=1",1920490,NA,NA,12,5,19,5,6,NA,NA,NA,NA
"287","tr|A0A2T1DD05|A0A2T1DD05_9CYAN",9,42,"S-layer protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15860 PE=3 SV=1",1920490,5,13,54,85,91,11,24,3,2,NA,NA
"288","tr|A0A2T1DD61|A0A2T1DD61_9CYAN",7,318,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15320 PE=4 SV=1",1920490,2,2,23,25,25,16,11,NA,NA,NA,NA
"289","tr|A0A2T1DDD3|A0A2T1DDD3_9CYAN",7,678,"Superoxide dismutase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_15395 PE=3 SV=1",1920490,3,2,3,19,11,4,5,NA,NA,NA,NA
"290","tr|A0A2T1DDJ6|A0A2T1DDJ6_9CYAN",3,1374,"DUF3769 domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_14635 PE=4 SV=1",1920490,NA,NA,5,8,11,NA,NA,NA,NA,NA,NA
"291","tr|A0A2T1DE63|A0A2T1DE63_9CYAN",3,2480,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_14370 PE=4 SV=1",1920490,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA
"292","tr|A0A2T1DEF8|A0A2T1DEF8_9CYAN",5,1099,"Histidine kinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_13930 PE=4 SV=1",1920490,NA,NA,7,6,5,3,7,NA,NA,NA,NA
"293","tr|A0A2T1DEW5|A0A2T1DEW5_9CYAN",5,1270,"Glutathione S-transferase family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_13455 PE=4 SV=1",1920490,4,2,NA,10,7,2,NA,NA,NA,NA,NA
"294","tr|A0A2T1DF44|A0A2T1DF44_9CYAN",3,2289,"Phosphoribulokinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12485 PE=3 SV=1",1920490,6,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"295","tr|A0A2T1DF81|A0A2T1DF81_9CYAN",3,1812,"Tetratricopeptide repeat protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12600 PE=4 SV=1",1920490,NA,NA,6,NA,4,4,NA,NA,NA,NA,NA
"296","tr|A0A2T1DF88|A0A2T1DF88_9CYAN",4,1699,"Elongation factor Ts OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=tsf PE=3 SV=1",1920490,NA,NA,2,7,4,4,NA,NA,NA,NA,NA
"297","tr|A0A2T1DFB1|A0A2T1DFB1_9CYAN",5,380,"Fasciclin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12740 PE=4 SV=1",1920490,NA,NA,24,16,26,13,6,NA,NA,NA,NA
"298","tr|A0A2T1DFI9|A0A2T1DFI9_9CYAN",3,2311,"RNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11950 PE=4 SV=1",1920490,NA,NA,4,NA,3,NA,2,NA,NA,NA,NA
"299","tr|A0A2T1DFJ0|A0A2T1DFJ0_9CYAN",4,1945,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11645 PE=4 SV=1",1920490,3,NA,NA,4,3,2,NA,NA,NA,NA,NA
"300","tr|A0A2T1DFJ5|A0A2T1DFJ5_9CYAN",5,733,"CsbD family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11635 PE=3 SV=1",1920490,NA,NA,9,4,11,16,4,NA,NA,NA,NA
"301","tr|A0A2T1DFJ7|A0A2T1DFJ7_9CYAN",4,1440,"Phosphoglycerate kinase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=pgk PE=3 SV=1",1920490,NA,NA,6,8,4,2,NA,NA,NA,NA,NA
"302","tr|A0A2T1DFM3|A0A2T1DFM3_9CYAN",2,1682,"OstA-like family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11860 PE=4 SV=1",1920490,NA,NA,10,NA,6,NA,NA,NA,NA,NA,NA
"303","tr|A0A2T1DFN1|A0A2T1DFN1_9CYAN",5,1517,"Chaperone protein ClpB OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=clpB PE=3 SV=1",1920490,3,4,NA,3,NA,NA,NA,NA,7,NA,2
"304","tr|A0A2T1DFV2|A0A2T1DFV2_9CYAN",7,997,"DNA starvation/stationary phase protection protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_12295 PE=3 SV=1",1920490,2,NA,6,10,5,2,3,NA,NA,NA,4
"305","tr|A0A2T1DFX5|A0A2T1DFX5_9CYAN",11,16,"SLH domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10825 PE=3 SV=1",1920490,8,13,75,89,83,22,55,8,11,7,3
"306","tr|A0A2T1DFZ4|A0A2T1DFZ4_9CYAN",5,1498,"50S ribosomal protein L11 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplK PE=3 SV=1",1920490,NA,NA,4,2,10,3,3,NA,NA,NA,NA
"307","tr|A0A2T1DFZ9|A0A2T1DFZ9_9CYAN",5,438,"Insulinase family protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10900 PE=4 SV=1",1920490,NA,NA,17,13,22,12,7,NA,NA,NA,NA
"308","tr|A0A2T1DG14|A0A2T1DG14_9CYAN",3,2658,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10850 PE=4 SV=1",1920490,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA
"309","tr|A0A2T1DG34|A0A2T1DG34_9CYAN",8,780,"ATP-dependent zinc metalloprotease FtsH OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=ftsH PE=3 SV=1",1920490,6,3,5,12,5,NA,NA,4,2,NA,2
"310","tr|A0A2T1DG40|A0A2T1DG40_9CYAN",6,1034,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10845 PE=4 SV=1",1920490,NA,5,3,9,6,2,5,NA,NA,NA,NA
"311","tr|A0A2T1DG55|A0A2T1DG55_9CYAN",6,1192,"50S ribosomal protein L1 OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=rplA PE=3 SV=1",1920490,NA,2,7,5,7,2,4,NA,NA,NA,NA
"312","tr|A0A2T1DG78|A0A2T1DG78_9CYAN",2,2836,"Uncharacterized protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11370 PE=4 SV=1",1920490,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA
"313","tr|A0A2T1DG79|A0A2T1DG79_9CYAN",9,51,"10 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groS PE=3 SV=1",1920490,6,11,48,54,60,57,28,NA,5,NA,6
"314","tr|A0A2T1DGA4|A0A2T1DGA4_9CYAN",10,5,"60 kDa chaperonin OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=groL PE=3 SV=1",1920490,76,69,41,63,54,21,31,18,31,NA,23
"315","tr|A0A2T1DGA8|A0A2T1DGA8_9CYAN",11,6,"Fasciclin domain-containing protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_11485 PE=4 SV=1",1920490,38,39,66,68,72,45,36,10,9,19,10
"316","tr|A0A2T1DGE7|A0A2T1DGE7_9CYAN",3,1926,"GMP synthase [glutamine-hydrolyzing] OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=guaA PE=3 SV=1",1920490,4,3,NA,8,NA,NA,NA,NA,NA,NA,NA
"317","tr|A0A2T1DGP8|A0A2T1DGP8_9CYAN",7,462,"RNA-binding protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10195 PE=4 SV=1",1920490,5,8,13,13,16,8,3,NA,NA,NA,NA
"318","tr|A0A2T1DGR2|A0A2T1DGR2_9CYAN",5,790,"High light inducible protein OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=C7B65_10235 PE=4 SV=1",1920490,NA,NA,4,16,16,2,3,NA,NA,NA,NA
"319","tr|A0A2T1DGZ9|A0A2T1DGZ9_9CYAN",5,843,"Glyceraldehyde-3-phosphate dehydrogenase OS=Phormidesmis priestleyi ULC007 OX=1920490 GN=gap PE=3 SV=1",1920490,9,6,NA,14,4,NA,3,NA,NA,NA,NA
